Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential,dateTime
2023/02/28, 10:30:58,-40.590729,-65.001755,151.58,468.0,238,0,17.56,1,2023-02-28 10:30:58
2023/02/28, 10:46:57,-40.590752,-65.001762,147.27,324.0,186,0,2.62,1,2023-02-28 10:46:57
2023/02/28, 11:07:07,-40.590763,-65.001747,154.61,0.0,0,0,1.76,1,2023-02-28 11:07:07
2023/02/28, 11:22:31,-40.590763,-65.001778,141.82,0.0,0,0,2.62,1,2023-02-28 11:22:31
2023/02/28, 11:37:59,-40.590752,-65.001793,147.13,0.0,0,0,1.76,1,2023-02-28 11:37:59
2023/02/28, 11:53:11,-40.590714,-65.00174,147.7,0.0,0,0,6.15,1,2023-02-28 11:53:11
2023/02/28, 12:08:38,-40.590691,-65.001663,157.97,0.0,0,0,6.99,1,2023-02-28 12:08:38
2023/02/28, 12:24:08,-40.590729,-65.001701,138.58,0.0,0,0,5.31,1,2023-02-28 12:24:08
2023/02/28, 12:40:01,-40.590744,-65.001732,145.48,1224.0,12,0,3.1,1,2023-02-28 12:40:01
2023/02/28, 12:55:01,-40.590694,-65.001709,153.77,0.0,212,0,5.89,1,2023-02-28 12:55:01
2023/02/28, 13:10:50,-40.590797,-65.001732,152.49,1584.0,41,0,11.62,1,2023-02-28 13:10:50
2023/02/28, 13:26:40,-40.590687,-65.001747,132.71,612.0,178,0,12.3,1,2023-02-28 13:26:40
2023/02/28, 13:47:21,-40.590801,-65.001717,146.77,504.0,334,0,12.93,1,2023-02-28 13:47:21
2023/02/28, 14:11:02,-40.590733,-65.001709,146.21,1944.0,219,0,7.59,1,2023-02-28 14:11:02
2023/02/28, 14:38:55,-40.590744,-65.001686,153.84,864.0,297,0,2.3,1,2023-02-28 14:38:55
2023/02/28, 14:54:24,-40.590736,-65.001686,139.48,0.0,165,0,0.89,1,2023-02-28 14:54:24
2023/02/28, 15:09:22,-40.590748,-65.001686,140.17,0.0,268,0,1.33,1,2023-02-28 15:09:22
2023/02/28, 15:24:40,-40.590733,-65.001656,134.02,288.0,92,0,3.03,1,2023-02-28 15:24:40
2023/02/28, 15:43:13,-40.590767,-65.001671,146.8,1692.0,347,0,3.99,1,2023-02-28 15:43:13
2023/02/28, 16:04:29,-40.59082,-65.001694,138.44,252.0,216,0,6.21,1,2023-02-28 16:04:29
2023/02/28, 16:35:05,-40.590656,-65.001701,126.09,288.0,63,0,18.25,1,2023-02-28 16:35:05
2023/02/28, 17:16:42,-40.590767,-65.001678,136.15,0.0,226,0,12.49,1,2023-02-28 17:16:42
2023/02/28, 17:32:06,-40.590675,-65.001633,156.27,0.0,184,0,10.91,1,2023-02-28 17:32:06
2023/02/28, 17:47:56,-40.590714,-65.001595,160.57,360.0,18,0,5.39,1,2023-02-28 17:47:56
2023/02/28, 18:14:55,-40.590569,-65.001549,135.65,0.0,291,0,16.58,1,2023-02-28 18:14:55
2023/02/28, 18:29:48,-40.590759,-65.001709,141.05,0.0,39,0,25.08,1,2023-02-28 18:29:48
2023/02/28, 18:45:05,-40.590729,-65.00174,134.63,0.0,313,0,4.24,1,2023-02-28 18:45:05
2023/02/28, 19:01:02,-40.590748,-65.001694,141.64,576.0,67,0,4.42,1,2023-02-28 19:01:02
2023/02/28, 19:20:20,-40.590744,-65.001617,139.28,0.0,44,0,6.52,1,2023-02-28 19:20:20
2023/02/28, 19:35:49,-40.59074,-65.00177,157.02,0.0,110,0,12.93,1,2023-02-28 19:35:49
2023/02/28, 19:51:24,-40.590794,-65.00177,165.34,1296.0,232,0,6.0,1,2023-02-28 19:51:24
2023/02/28, 20:08:00,-40.590725,-65.001656,140.83,2088.0,96,0,12.31,1,2023-02-28 20:08:00
2023/02/28, 20:25:11,-40.590755,-65.001678,145.72,540.0,154,0,3.82,1,2023-02-28 20:25:11
2023/02/28, 20:40:22,-40.590759,-65.001709,138.03,0.0,230,0,2.66,1,2023-02-28 20:40:22
2023/02/28, 20:55:32,-40.590763,-65.001678,146.63,0.0,0,0,2.66,1,2023-02-28 20:55:32
2023/02/28, 21:10:45,-40.590752,-65.001755,135.99,0.0,258,0,6.62,1,2023-02-28 21:10:45
2023/02/28, 21:25:53,-40.590721,-65.001694,136.69,540.0,160,0,6.2,1,2023-02-28 21:25:53
2023/02/28, 21:41:03,-40.590473,-65.001617,155.57,0.0,354,0,28.33,1,2023-02-28 21:41:03
2023/02/28, 21:56:56,-40.590801,-65.001709,150.65,3168.0,316,0,37.29,1,2023-02-28 21:56:56
2023/02/28, 22:12:47,-40.590847,-65.001663,152.2,6660.0,45,0,6.42,1,2023-02-28 22:12:47
2023/02/28, 22:30:59,-40.590721,-65.00174,147.48,1368.0,132,0,15.45,1,2023-02-28 22:30:59
2023/02/28, 22:58:53,-40.590736,-65.001907,119.95,936.0,178,0,14.2,1,2023-02-28 22:58:53
2023/02/28, 23:37:48,-40.590763,-65.001808,139.56,1008.0,223,-4,8.88,1,2023-02-28 23:37:48
2023/03/01, 00:17:02,-40.590752,-65.001732,143.41,0.0,65,-2,0.0,1,2023-03-01 00:17:02
2023/03/01, 00:33:17,-40.590755,-65.001724,146.98,828.0,210,0,0.75,1,2023-03-01 00:33:17
2023/03/01, 01:09:58,-40.590805,-65.001823,151.39,900.0,90,0,10.04,1,2023-03-01 01:09:58
2023/03/01, 01:49:32,-40.590733,-65.001694,153.92,432.0,14,0,13.52,1,2023-03-01 01:49:32
2023/03/01, 02:29:38,-40.590797,-65.001678,166.88,720.0,359,0,7.24,1,2023-03-01 02:29:38
2023/03/01, 03:09:02,-40.590733,-65.001663,148.13,540.0,215,0,7.23,1,2023-03-01 03:09:02
2023/03/01, 03:45:27,-40.590847,-65.001724,144.13,0.0,289,0,13.68,1,2023-03-01 03:45:27
2023/03/01, 04:17:27,-40.590744,-65.00177,129.71,0.0,222,0,12.09,1,2023-03-01 04:17:27
2023/03/01, 04:48:23,-40.590618,-65.001709,120.17,504.0,55,0,14.93,1,2023-03-01 04:48:23
2023/03/01, 05:24:03,-40.590736,-65.001709,143.06,0.0,294,0,13.12,1,2023-03-01 05:24:03
2023/03/01, 05:56:26,-40.590759,-65.001801,137.58,0.0,34,0,8.18,1,2023-03-01 05:56:26
2023/03/01, 06:12:03,-40.590698,-65.001678,137.95,0.0,272,0,12.4,1,2023-03-01 06:12:03
2023/03/01, 06:35:48,-40.590706,-65.001778,131.11,0.0,21,0,8.49,1,2023-03-01 06:35:48
2023/03/01, 06:51:02,-40.590706,-65.001709,136.26,0.0,253,0,5.83,1,2023-03-01 06:51:02
2023/03/01, 07:06:18,-40.590637,-65.001656,129.8,0.0,272,0,8.88,1,2023-03-01 07:06:18
2023/03/01, 07:21:58,-40.590748,-65.001564,148.83,756.0,173,0,14.58,1,2023-03-01 07:21:58
2023/03/01, 07:39:59,-40.590801,-65.001907,111.2,1440.0,345,0,29.56,1,2023-03-01 07:39:59
2023/03/01, 08:09:49,-40.590553,-65.001808,112.9,17100.0,217,0,28.82,1,2023-03-01 08:09:49
2023/03/01, 08:41:32,-40.590679,-65.001709,139.28,108.0,348,0,16.31,1,2023-03-01 08:41:32
2023/03/01, 09:11:11,-40.590588,-65.001747,130.16,0.0,17,0,10.62,1,2023-03-01 09:11:11
2023/03/01, 09:27:00,-40.590706,-65.001808,132.98,684.0,166,0,14.1,1,2023-03-01 09:27:00
2023/03/01, 09:50:41,-40.590778,-65.001785,155.37,0.0,100,0,8.24,1,2023-03-01 09:50:41
2023/03/01, 10:05:57,-40.590771,-65.001724,151.91,0.0,292,0,5.21,1,2023-03-01 10:05:57
2023/03/01, 10:21:08,-40.590763,-65.001732,151.25,612.0,52,0,1.12,1,2023-03-01 10:21:08
2023/03/01, 10:36:26,-40.59074,-65.001717,150.89,0.0,22,0,2.85,1,2023-03-01 10:36:26
2023/03/01, 10:51:45,-40.59074,-65.001686,150.59,0.0,0,0,2.62,1,2023-03-01 10:51:45
2023/03/01, 11:08:23,-40.590755,-65.001747,145.51,0.0,172,0,5.41,1,2023-03-01 11:08:23
2023/03/01, 11:32:20,-40.590729,-65.002037,141.52,0.0,334,0,24.66,1,2023-03-01 11:32:20
2023/03/01, 11:47:49,-40.59082,-65.002113,141.19,0.0,0,0,11.98,1,2023-03-01 11:47:49
2023/03/01, 12:03:09,-40.590893,-65.002037,145.42,0.0,0,0,10.35,1,2023-03-01 12:03:09
2023/03/01, 12:18:16,-40.590862,-65.001945,145.07,0.0,0,0,8.5,1,2023-03-01 12:18:16
2023/03/01, 12:33:16,-40.590717,-65.001747,146.12,0.0,0,0,23.23,1,2023-03-01 12:33:16
2023/03/01, 12:48:29,-40.59074,-65.001732,155.86,828.0,193,0,2.85,1,2023-03-01 12:48:29
2023/03/01, 13:04:13,-40.590748,-65.001717,141.45,3816.0,59,0,1.55,1,2023-03-01 13:04:13
2023/03/01, 13:22:49,-40.590828,-65.001823,141.45,2664.0,211,0,12.62,1,2023-03-01 13:22:49
2023/03/01, 13:41:24,-40.590824,-65.001869,145.14,1368.0,68,0,3.91,1,2023-03-01 13:41:24
2023/03/01, 14:03:29,-40.590755,-65.001625,160.81,108.0,311,0,21.99,1,2023-03-01 14:03:29
2023/03/01, 14:34:45,-40.590744,-65.001884,119.68,756.0,246,0,21.9,1,2023-03-01 14:34:45
2023/03/01, 15:10:56,-40.590752,-65.001907,133.52,72.0,235,0,2.14,1,2023-03-01 15:10:56
2023/03/01, 15:49:37,-40.590721,-65.001625,146.07,0.0,87,0,24.06,1,2023-03-01 15:49:37
2023/03/01, 16:39:26,-40.590683,-65.001801,137.76,0.0,38,0,15.45,1,2023-03-01 16:39:26
2023/03/01, 16:54:41,-40.590702,-65.00177,131.58,504.0,111,0,3.36,1,2023-03-01 16:54:41
2023/03/01, 17:28:30,-40.590706,-65.001663,143.85,864.0,260,0,9.05,1,2023-03-01 17:28:30
2023/03/01, 18:02:43,-40.590561,-65.001701,124.98,504.0,280,0,16.44,1,2023-03-01 18:02:43
2023/03/01, 18:38:01,-40.590694,-65.001617,144.66,900.0,109,0,16.4,1,2023-03-01 18:38:01
2023/03/01, 19:14:32,-40.590649,-65.001755,134.24,0.0,297,0,12.68,1,2023-03-01 19:14:32
2023/03/01, 19:45:26,-40.590717,-65.001694,139.56,468.0,195,0,9.15,1,2023-03-01 19:45:26
2023/03/01, 20:16:35,-40.590656,-65.001617,148.52,0.0,236,0,9.4,1,2023-03-01 20:16:35
2023/03/01, 20:31:41,-40.590702,-65.001663,143.1,0.0,41,0,6.42,1,2023-03-01 20:31:41
2023/03/01, 20:47:09,-40.59071,-65.001709,139.91,0.0,239,0,3.98,1,2023-03-01 20:47:09
2023/03/01, 21:02:37,-40.590633,-65.001663,137.35,0.0,185,0,9.4,1,2023-03-01 21:02:37
2023/03/01, 21:18:04,-40.590698,-65.001686,133.0,0.0,335,0,7.48,1,2023-03-01 21:18:04
2023/03/01, 21:34:20,-40.590714,-65.001633,150.88,540.0,73,0,4.82,1,2023-03-01 21:34:20
2023/03/01, 21:55:53,-40.59074,-65.001678,142.28,432.0,346,0,4.77,1,2023-03-01 21:55:53
2023/03/01, 22:23:00,-40.590672,-65.001694,149.09,612.0,232,0,7.68,1,2023-03-01 22:23:00
2023/03/01, 22:45:58,-40.590729,-65.001663,151.85,0.0,42,0,6.86,1,2023-03-01 22:45:58
2023/03/01, 23:01:19,-40.590683,-65.001808,118.4,0.0,17,0,13.27,1,2023-03-01 23:01:19
2023/03/01, 23:16:58,-40.590752,-65.001755,146.17,1044.0,143,0,8.88,1,2023-03-01 23:16:58
2023/03/01, 23:36:34,-40.59071,-65.001686,140.77,0.0,240,-4,7.47,1,2023-03-01 23:36:34
2023/03/02, 00:01:18,-40.59071,-65.001663,149.1,0.0,234,-2,0.0,1,2023-03-02 00:01:18
2023/03/02, 00:16:32,-40.590672,-65.001579,160.31,0.0,9,0,8.26,1,2023-03-02 00:16:32
2023/03/02, 00:31:45,-40.590679,-65.001625,164.13,0.0,16,0,3.96,1,2023-03-02 00:31:45
2023/03/02, 00:46:58,-40.590759,-65.001762,144.97,0.0,292,0,14.59,1,2023-03-02 00:46:58
2023/03/02, 01:02:30,-40.590706,-65.00174,147.34,432.0,47,0,6.18,1,2023-03-02 01:02:30
2023/03/02, 01:17:43,-40.59071,-65.001686,157.04,0.0,128,0,4.58,1,2023-03-02 01:17:43
2023/03/02, 01:33:24,-40.590725,-65.00174,142.5,72.0,304,0,4.86,1,2023-03-02 01:33:24
2023/03/02, 01:50:34,-40.590714,-65.001678,150.92,0.0,215,0,5.38,1,2023-03-02 01:50:34
2023/03/02, 02:05:54,-40.590733,-65.001579,168.53,0.0,273,0,8.62,1,2023-03-02 02:05:54
2023/03/02, 02:21:06,-40.590687,-65.001633,153.54,0.0,278,0,6.85,1,2023-03-02 02:21:06
2023/03/02, 02:36:16,-40.590725,-65.001541,165.77,0.0,245,0,8.84,1,2023-03-02 02:36:16
2023/03/02, 02:51:48,-40.590691,-65.001831,128.7,1944.0,248,0,24.78,1,2023-03-02 02:51:48
2023/03/02, 03:07:30,-40.590675,-65.001564,154.38,1044.0,243,0,22.62,1,2023-03-02 03:07:30
2023/03/02, 03:25:48,-40.590691,-65.001678,149.2,1620.0,275,0,9.79,1,2023-03-02 03:25:48
2023/03/02, 03:43:58,-40.590664,-65.001694,148.73,0.0,249,0,3.29,1,2023-03-02 03:43:58
2023/03/02, 03:59:30,-40.590698,-65.001694,136.43,504.0,0,0,3.78,1,2023-03-02 03:59:30
2023/03/02, 04:16:37,-40.590706,-65.001801,132.53,0.0,212,0,9.08,1,2023-03-02 04:16:37
2023/03/02, 04:31:49,-40.590691,-65.001694,137.33,0.0,130,0,9.19,1,2023-03-02 04:31:49
2023/03/02, 04:47:02,-40.590706,-65.001656,146.73,0.0,191,0,3.62,1,2023-03-02 04:47:02
2023/03/02, 05:02:21,-40.590725,-65.001892,128.55,0.0,298,0,20.04,1,2023-03-02 05:02:21
2023/03/02, 05:17:46,-40.590652,-65.001755,131.9,2448.0,283,0,14.13,1,2023-03-02 05:17:46
2023/03/02, 05:33:25,-40.590694,-65.00174,134.4,468.0,334,0,4.84,1,2023-03-02 05:33:25
2023/03/02, 05:51:23,-40.590702,-65.00174,127.96,0.0,107,0,0.89,1,2023-03-02 05:51:23
2023/03/02, 06:06:33,-40.59074,-65.001747,137.24,0.0,291,0,4.27,1,2023-03-02 06:06:33
