Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2023-02-23 09:52:30, 09:52:30,-40.590691,-65.001663,145.77,144.0,0,0,13.19,1
2023-02-23 10:17:29, 10:17:29,-40.59079,-65.00161,145.49,0.0,0,0,11.88,1
2023-02-23 10:32:48, 10:32:48,-40.59082,-65.001633,147.62,0.0,276,0,3.86,1
2023-02-23 10:47:59, 10:47:59,-40.590866,-65.00161,142.62,0.0,255,0,5.47,1
2023-02-23 11:03:21, 11:03:21,-40.590919,-65.001701,148.3,0.0,0,0,9.68,1
2023-02-23 11:18:45, 11:18:45,-40.590942,-65.001663,145.84,0.0,0,0,4.1,1
2023-02-23 11:34:11, 11:34:11,-40.590946,-65.001694,144.61,0.0,166,0,2.66,1
2023-02-23 11:49:35, 11:49:35,-40.590935,-65.001686,133.43,0.0,323,0,1.4,1
2023-02-23 12:04:59, 12:04:59,-40.590954,-65.001701,140.67,0.0,0,0,2.46,1
2023-02-23 12:20:10, 12:20:10,-40.590954,-65.001724,138.67,0.0,0,0,1.94,1
2023-02-23 12:35:14, 12:35:14,-40.590977,-65.001747,138.0,0.0,49,0,3.21,1
2023-02-23 12:50:34, 12:50:34,-40.591084,-65.001984,121.64,0.0,18,0,23.28,1
2023-02-23 13:07:11, 13:07:11,-40.590958,-65.001778,152.12,0.0,52,0,22.34,1
2023-02-23 13:33:38, 13:33:38,-40.590984,-65.001747,153.09,0.0,154,0,3.9,1
2023-02-23 13:48:43, 13:48:43,-40.590992,-65.001747,153.15,0.0,341,0,0.89,1
2023-02-23 14:03:52, 14:03:52,-40.591,-65.001732,152.88,0.0,0,0,1.55,1
2023-02-23 14:18:56, 14:18:56,-40.590977,-65.001747,150.53,0.0,170,0,2.85,1
2023-02-23 14:33:59, 14:33:59,-40.590942,-65.001755,145.17,252.0,56,0,3.95,1
2023-02-23 14:49:02, 14:49:02,-40.590988,-65.00174,149.92,0.0,0,0,5.27,1
2023-02-23 15:04:10, 15:04:10,-40.590977,-65.00174,146.54,0.0,0,0,1.22,1
2023-02-23 15:19:14, 15:19:14,-40.590965,-65.001732,143.6,0.0,202,0,1.5,1
2023-02-23 15:34:19, 15:34:19,-40.590946,-65.001717,142.71,0.0,63,0,2.46,1
2023-02-23 15:49:27, 15:49:27,-40.590973,-65.001724,141.68,0.0,20,0,3.06,1
2023-02-23 16:04:51, 16:04:51,-40.590996,-65.001831,146.75,288.0,0,0,9.39,1
2023-02-23 16:20:51, 16:20:51,-40.59095,-65.001945,155.68,180.0,125,0,10.9,1
2023-02-23 16:36:21, 16:36:21,-40.590916,-65.001968,151.65,0.0,56,0,4.25,1
2023-02-23 16:51:52, 16:51:52,-40.590691,-65.001846,161.26,180.0,197,0,27.06,1
2023-02-23 17:07:25, 17:07:25,-40.590576,-65.001564,146.9,0.0,174,0,27.03,1
2023-02-23 17:22:33, 17:22:33,-40.590385,-65.001579,210.27,288.0,230,0,21.28,1
2023-02-23 17:37:37, 17:37:37,-40.590405,-65.001518,198.72,0.0,200,0,5.61,1
2023-02-23 17:52:37, 17:52:37,-40.590473,-65.001495,196.44,324.0,112,0,7.81,1
2023-02-23 18:07:53, 18:07:53,-40.590446,-65.001457,180.37,360.0,308,0,4.39,1
2023-02-23 18:23:22, 18:23:22,-40.590466,-65.001472,176.73,0.0,0,0,2.56,1
2023-02-23 18:38:43, 18:38:43,-40.590557,-65.001518,163.65,0.0,20,0,10.84,1
2023-02-23 18:54:32, 18:54:32,-40.590569,-65.001556,152.39,576.0,184,0,3.48,1
2023-02-23 19:09:46, 19:09:46,-40.590553,-65.001587,146.49,36.0,0,0,3.16,1
2023-02-23 19:24:47, 19:24:47,-40.590591,-65.001518,140.81,180.0,179,0,7.2,1
2023-02-23 19:39:50, 19:39:50,-40.59066,-65.001404,130.61,576.0,220,0,12.31,1
2023-02-23 19:54:57, 19:54:57,-40.590652,-65.001404,131.19,432.0,179,0,0.89,1
2023-02-23 20:10:20, 20:10:20,-40.590527,-65.001549,153.03,432.0,0,0,18.52,1
2023-02-23 20:28:20, 20:28:20,-40.59053,-65.001556,160.88,1008.0,299,0,0.68,1
2023-02-23 20:43:56, 20:43:56,-40.590546,-65.001526,139.0,288.0,23,0,3.1,1
2023-02-23 21:03:50, 21:03:50,-40.590538,-65.001534,145.92,0.0,0,0,1.12,1
2023-02-23 21:19:13, 21:19:13,-40.590542,-65.001534,143.26,0.0,29,0,0.44,1
2023-02-23 21:34:35, 21:34:35,-40.590549,-65.001534,147.16,0.0,249,0,0.78,1
2023-02-23 21:49:56, 21:49:56,-40.590546,-65.001526,141.29,0.0,52,-4,0.75,1
2023-02-24 05:02:03, 05:02:03,-40.590542,-65.001541,142.55,684.0,65,-2,0.0,1
2023-02-24 05:17:10, 05:17:10,-40.590549,-65.001556,145.6,0.0,0,0,1.49,1
2023-02-24 05:32:14, 05:32:14,-40.590534,-65.001541,146.23,0.0,53,0,2.09,1
2023-02-24 05:47:17, 05:47:17,-40.590553,-65.001541,143.7,0.0,0,0,2.11,1
2023-02-24 06:02:25, 06:02:25,-40.590572,-65.001534,135.69,0.0,0,0,2.19,1
2023-02-24 06:17:28, 06:17:28,-40.590534,-65.001541,144.8,0.0,159,0,4.27,1
2023-02-24 06:32:30, 06:32:30,-40.590527,-65.001541,147.02,0.0,176,0,0.78,1
2023-02-24 06:47:31, 06:47:31,-40.590549,-65.001556,140.12,0.0,68,0,2.75,1
2023-02-24 07:02:38, 07:02:38,-40.590473,-65.001534,151.7,0.0,0,0,8.65,1
2023-02-24 07:17:41, 07:17:41,-40.590488,-65.001526,150.1,0.0,38,0,1.8,1
2023-02-24 07:32:59, 07:32:59,-40.590549,-65.001556,144.96,324.0,31,0,7.24,1
2023-02-24 07:48:05, 07:48:05,-40.590534,-65.001564,152.14,0.0,313,0,1.8,1
2023-02-24 08:03:15, 08:03:15,-40.590569,-65.001526,147.62,0.0,0,0,5.04,1
2023-02-24 08:18:23, 08:18:23,-40.590572,-65.001534,152.03,0.0,91,0,0.75,1
2023-02-24 08:33:33, 08:33:33,-40.590569,-65.001549,157.64,0.0,80,0,1.31,1
2023-02-24 08:48:46, 08:48:46,-40.590572,-65.001564,134.83,0.0,100,0,1.31,1
2023-02-24 09:04:05, 09:04:05,-40.59058,-65.001549,131.24,0.0,101,0,1.55,1
2023-02-24 09:19:20, 09:19:20,-40.590557,-65.001564,143.95,0.0,249,0,2.85,1
2023-02-24 09:34:37, 09:34:37,-40.59053,-65.001572,149.28,0.0,178,0,3.08,1
2023-02-24 09:49:56, 09:49:56,-40.590584,-65.001602,139.19,0.0,319,0,6.52,1
2023-02-24 10:05:17, 10:05:17,-40.590557,-65.001579,140.09,0.0,238,0,3.58,1
2023-02-24 10:20:31, 10:20:31,-40.590626,-65.001701,144.69,2520.0,223,0,12.84,1
2023-02-24 10:36:20, 10:36:20,-40.590527,-65.001564,149.79,144.0,169,0,15.97,1
2023-02-24 10:51:51, 10:51:51,-40.590542,-65.001534,148.0,0.0,166,0,3.03,1
2023-02-24 11:07:15, 11:07:15,-40.590538,-65.001526,146.83,0.0,0,0,0.81,1
2023-02-24 11:22:20, 11:22:20,-40.590584,-65.001511,153.08,0.0,0,0,5.27,1
2023-02-24 11:37:35, 11:37:35,-40.590591,-65.001572,144.58,0.0,98,0,5.21,1
2023-02-24 11:53:02, 11:53:02,-40.590633,-65.001465,145.83,0.0,9,0,10.17,1
2023-02-24 12:08:23, 12:08:23,-40.590569,-65.001419,148.44,0.0,231,0,8.11,1
2023-02-24 12:23:16, 12:23:16,-40.590488,-65.001396,145.98,0.0,150,0,9.21,1
2023-02-24 12:38:16, 12:38:16,-40.590485,-65.001312,146.8,0.0,294,0,7.1,1
2023-02-24 12:53:19, 12:53:19,-40.590462,-65.001274,152.25,0.0,27,0,4.1,1
2023-02-24 13:12:24, 13:12:24,-40.590508,-65.001328,148.8,108.0,1,0,6.85,1
2023-02-24 14:18:54, 14:18:54,-40.590492,-65.001335,146.91,2232.0,55,0,1.87,1
2023-02-24 14:41:59, 14:41:59,-40.590408,-65.001488,177.59,0.0,323,0,15.94,1
2023-02-24 14:57:23, 14:57:23,-40.590504,-65.001358,125.74,0.0,90,0,15.31,1
2023-02-24 15:13:17, 15:13:17,-40.590485,-65.00132,145.22,36.0,38,0,3.84,1
2023-02-24 15:57:03, 15:57:03,-40.590466,-65.001328,156.59,1044.0,48,0,2.22,1
2023-02-24 16:45:25, 16:45:25,-40.590504,-65.001312,140.37,144.0,74,0,4.44,1
2023-02-24 17:06:29, 17:06:29,-40.590511,-65.00132,134.6,504.0,342,0,1.03,1
2023-02-24 17:32:55, 17:32:55,-40.590523,-65.001343,139.88,504.0,60,0,2.36,1
2023-02-24 18:35:56, 18:35:56,-40.590012,-65.000801,139.49,1656.0,39,0,72.96,1
2023-02-24 19:35:26, 19:35:26,-40.590576,-65.001411,109.13,3312.0,223,0,81.15,1
2023-02-24 20:24:37, 20:24:37,-40.590485,-65.001312,139.01,720.0,165,0,13.13,1
2023-02-24 21:15:35, 21:15:35,-40.590466,-65.00132,143.78,540.0,174,-4,2.22,1
2023-02-25 05:01:24, 05:01:24,-40.590477,-65.001312,143.43,720.0,277,-2,0.0,1
2023-02-25 05:17:19, 05:17:19,-40.590485,-65.00132,137.77,828.0,126,0,1.12,1
2023-02-25 05:43:49, 05:43:49,-40.590458,-65.001389,140.01,396.0,280,0,6.55,1
2023-02-25 06:13:29, 06:13:29,-40.590557,-65.00145,113.33,288.0,211,0,12.15,1
2023-02-25 06:53:04, 06:53:04,-40.59045,-65.00132,142.92,360.0,118,0,16.19,1
2023-02-25 07:31:35, 07:31:35,-40.590492,-65.001335,146.88,288.0,203,0,4.84,1
2023-02-25 08:05:50, 08:05:50,-40.590439,-65.001274,152.88,288.0,26,0,7.83,1
2023-02-25 08:21:04, 08:21:04,-40.590473,-65.001305,158.78,0.0,150,0,4.6,1
2023-02-25 08:36:19, 08:36:19,-40.590511,-65.001358,151.32,0.0,47,0,6.15,1
