Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential,dateTime
2023/02/27, 11:52:17,-40.583385,-64.994644,141.89,72.0,34,0,3.34, 1,2023-02-27 11:52:17
2023/02/27, 12:07:37,-40.583366,-64.994637,142.69,216.0,0,0,2.19, 1,2023-02-27 12:07:37
2023/02/27, 12:23:19,-40.583393,-64.994583,144.28,288.0,50,0,5.46, 1,2023-02-27 12:23:19
2023/02/27, 12:38:40,-40.583488,-64.994576,137.68,0.0,324,0,10.58, 1,2023-02-27 12:38:40
2023/02/27, 12:54:00,-40.583481,-64.994598,144.84,792.0,39,0,2.01, 1,2023-02-27 12:54:00
2023/02/27, 13:09:18,-40.583443,-64.994667,146.02,0.0,336,0,7.2, 1,2023-02-27 13:09:18
2023/02/27, 13:24:18,-40.583462,-64.994637,139.54,0.0,20,0,3.3, 1,2023-02-27 13:24:18
2023/02/27, 13:39:12,-40.583385,-64.994652,142.17,0.0,331,0,8.66, 1,2023-02-27 13:39:12
2023/02/27, 13:54:34,-40.583481,-64.994614,141.71,540.0,63,0,11.15, 1,2023-02-27 13:54:34
2023/02/27, 14:09:39,-40.583466,-64.994614,141.55,396.0,248,0,1.67, 1,2023-02-27 14:09:39
2023/02/27, 14:24:44,-40.58345,-64.994606,142.11,0.0,22,0,1.9, 1,2023-02-27 14:24:44
2023/02/27, 14:39:48,-40.58345,-64.994576,146.4,0.0,324,0,2.53, 1,2023-02-27 14:39:48
2023/02/27, 14:54:52,-40.583473,-64.994545,150.68,0.0,242,0,3.66, 1,2023-02-27 14:54:52
2023/02/27, 15:10:04,-40.58345,-64.994553,148.85,0.0,280,0,2.65, 1,2023-02-27 15:10:04
2023/02/27, 15:25:10,-40.583458,-64.994461,158.4,1296.0,266,0,7.82, 1,2023-02-27 15:25:10
2023/02/27, 15:40:20,-40.583458,-64.994614,148.15,0.0,72,0,12.92, 1,2023-02-27 15:40:20
2023/02/27, 15:55:30,-40.583412,-64.994629,148.46,612.0,65,0,5.27, 1,2023-02-27 15:55:30
2023/02/27, 16:11:00,-40.583427,-64.994606,140.26,2304.0,184,0,2.56, 1,2023-02-27 16:11:00
2023/02/27, 16:26:52,-40.583401,-64.994652,146.35,252.0,135,0,4.84, 1,2023-02-27 16:26:52
2023/02/27, 16:42:11,-40.583363,-64.994667,147.75,0.0,170,0,4.41, 1,2023-02-27 16:42:11
2023/02/27, 16:57:26,-40.58337,-64.994675,144.62,252.0,73,0,1.03, 1,2023-02-27 16:57:26
2023/02/27, 17:12:43,-40.583366,-64.994667,140.38,0.0,0,0,0.81, 1,2023-02-27 17:12:43
2023/02/27, 17:27:55,-40.583378,-64.994644,146.19,0.0,116,0,2.36, 1,2023-02-27 17:27:55
2023/02/27, 17:43:05,-40.583382,-64.994644,149.28,0.0,227,0,0.44, 1,2023-02-27 17:43:05
2023/02/27, 17:58:14,-40.583393,-64.994652,153.11,0.0,12,0,1.4, 1,2023-02-27 17:58:14
2023/02/27, 18:13:26,-40.583412,-64.994675,148.31,0.0,251,0,2.87, 1,2023-02-27 18:13:26
2023/02/27, 18:28:33,-40.58337,-64.994659,144.27,1008.0,13,0,4.86, 1,2023-02-27 18:28:33
2023/02/27, 18:43:39,-40.58334,-64.994644,145.99,1008.0,7,0,3.57, 1,2023-02-27 18:43:39
2023/02/27, 18:58:44,-40.583374,-64.994644,143.53,0.0,220,0,3.78, 1,2023-02-27 18:58:44
2023/02/27, 19:14:33,-40.583385,-64.994637,142.55,252.0,160,0,1.36, 1,2023-02-27 19:14:33
