Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential,dateTime
2023/02/10, 19:49:27,-40.734409,-64.937775,-17.36,432.0,179,-2,0.0, 1,2023-02-10 19:49:27
2023/02/10, 20:05:36,-40.7346,-64.937706,10.24,3924.0,241,0,22.02, 1,2023-02-10 20:05:36
2023/02/10, 20:27:12,-40.734352,-64.937805,-5.52,360.0,177,0,28.81, 1,2023-02-10 20:27:12
2023/02/10, 20:48:32,-40.734398,-64.937782,8.12,0.0,12,-4,5.47, 1,2023-02-10 20:48:32
2023/02/11, 06:03:55,-40.734432,-64.937798,-7.91,324.0,163,-2,0.0, 1,2023-02-11 06:03:55
2023/02/11, 06:33:56,-40.73447,-64.937767,51.74,1116.0,161,0,4.97, 1,2023-02-11 06:33:56
2023/02/11, 08:55:58,-40.73447,-64.937767,51.74,1116.0,161,0,0.0, 1,2023-02-11 08:55:58
2023/02/11, 09:14:51,-40.734341,-64.937874,2.56,0.0,30,0,16.94, 1,2023-02-11 09:14:51
2023/02/11, 09:30:47,-40.734024,-64.938019,-15.75,2232.0,190,0,37.31, 1,2023-02-11 09:30:47
2023/02/11, 10:42:57,-40.734463,-64.937843,8.77,2880.0,135,0,51.02, 1,2023-02-11 10:42:57
2023/02/11, 10:59:36,-40.734913,-64.938416,-50.85,0.0,0,0,69.53, 1,2023-02-11 10:59:36
2023/02/11, 11:18:58,-40.734913,-64.938416,-50.85,0.0,0,0,0.0, 1,2023-02-11 11:18:58
2023/02/11, 11:40:51,-40.734348,-64.937813,-9.57,2412.0,330,0,80.8, 1,2023-02-11 11:40:51
2023/02/11, 12:07:54,-40.734463,-64.937752,-1.01,0.0,168,0,13.78, 1,2023-02-11 12:07:54
2023/02/11, 12:23:12,-40.734352,-64.937813,-32.91,0.0,223,0,13.37, 1,2023-02-11 12:23:12
2023/02/11, 12:39:04,-40.734497,-64.937866,48.54,2664.0,221,0,16.73, 1,2023-02-11 12:39:04
2023/02/11, 13:44:09,-40.734497,-64.937866,48.54,2664.0,221,0,0.0, 1,2023-02-11 13:44:09
2023/02/11, 14:27:46,-40.734295,-64.937775,5.52,1404.0,48,0,23.73, 1,2023-02-11 14:27:46
2023/02/11, 15:31:10,-40.734295,-64.937775,5.52,1404.0,48,0,0.0, 1,2023-02-11 15:31:10
2023/02/11, 15:49:54,-40.73428,-64.938011,1.84,2592.0,305,0,19.95, 1,2023-02-11 15:49:54
2023/02/11, 16:18:16,-40.734398,-64.937843,-0.23,2988.0,319,0,19.3, 1,2023-02-11 16:18:16
2023/02/11, 17:15:56,-40.734428,-64.93792,15.38,0.0,0,0,7.3, 1,2023-02-11 17:15:56
2023/02/11, 17:32:37,-40.73418,-64.937851,-21.69,3492.0,6,0,28.18, 1,2023-02-11 17:32:37
2023/02/11, 17:48:23,-40.734364,-64.937866,-1.58,288.0,151,0,20.5, 1,2023-02-11 17:48:23
2023/02/11, 20:05:47,-40.734364,-64.937866,-1.58,288.0,151,0,0.0, 1,2023-02-11 20:05:47
2023/02/11, 20:22:26,-40.734398,-64.937836,-13.48,0.0,148,0,4.55, 1,2023-02-11 20:22:26
2023/02/11, 20:37:56,-40.734444,-64.937859,4.75,0.0,35,-4,5.47, 1,2023-02-11 20:37:56
2023/02/14, 10:53:45,-40.734444,-64.937859,4.75,0.0,35,-2,0.0, 1,2023-02-14 10:53:45
2023/02/14, 11:37:23,-40.734264,-64.938004,-38.25,1512.0,88,0,23.45, 1,2023-02-14 11:37:23
2023/02/14, 11:53:06,-40.73444,-64.937721,29.87,1800.0,151,0,30.85, 1,2023-02-14 11:53:06
2023/02/14, 13:05:29,-40.734512,-64.938004,4.76,1332.0,121,0,25.15, 1,2023-02-14 13:05:29
2023/02/14, 13:25:36,-40.734215,-64.937523,8.84,2916.0,64,0,52.28, 1,2023-02-14 13:25:36
2023/02/14, 13:44:56,-40.734215,-64.937523,8.84,2916.0,64,0,0.0, 1,2023-02-14 13:44:56
2023/02/14, 14:06:32,-40.734341,-64.937675,17.35,0.0,78,0,18.98, 1,2023-02-14 14:06:32
2023/02/14, 14:37:10,-40.73439,-64.937805,4.59,684.0,223,0,12.23, 1,2023-02-14 14:37:10
2023/02/14, 15:24:23,-40.734402,-64.937752,29.48,1224.0,174,0,4.66, 1,2023-02-14 15:24:23
2023/02/14, 16:03:50,-40.73428,-64.937668,44.29,1260.0,344,0,15.3, 1,2023-02-14 16:03:50
2023/02/14, 16:49:55,-40.73439,-64.937653,6.95,720.0,256,0,12.3, 1,2023-02-14 16:49:55
2023/02/14, 17:25:27,-40.73439,-64.937653,6.95,720.0,256,0,0.0, 1,2023-02-14 17:25:27
2023/02/14, 18:25:12,-40.734348,-64.937859,-15.41,972.0,19,0,17.97, 1,2023-02-14 18:25:12
2023/02/14, 19:26:21,-40.583221,-64.999435,155.73,2988.0,261,0,17588.97, 1,2023-02-14 19:26:21
2023/02/14, 20:28:09,-40.583019,-64.999878,144.91,0.0,312,0,43.64, 1,2023-02-14 20:28:09
2023/02/14, 20:43:16,-40.583015,-64.999832,150.92,180.0,122,0,3.91, 1,2023-02-14 20:43:16
2023/02/14, 20:58:21,-40.582989,-64.999794,163.77,1152.0,230,-4,4.32, 1,2023-02-14 20:58:21
2023/02/15, 01:02:02,-40.583038,-64.999924,149.9,108.0,175,-2,0.0, 1,2023-02-15 01:02:02
2023/02/15, 01:17:03,-40.583046,-64.999947,149.2,0.0,89,0,2.14, 1,2023-02-15 01:17:03
2023/02/15, 01:32:04,-40.583031,-64.999924,149.57,0.0,203,0,2.56, 1,2023-02-15 01:32:04
2023/02/15, 01:47:05,-40.583012,-64.999924,143.34,0.0,16,-4,2.11, 1,2023-02-15 01:47:05
2023/02/15, 06:02:32,-40.583019,-64.999908,148.59,72.0,128,-2,0.0, 1,2023-02-15 06:02:32
2023/02/15, 06:17:50,-40.583023,-64.999924,147.09,0.0,160,0,1.42, 1,2023-02-15 06:17:50
2023/02/15, 06:33:08,-40.583023,-64.999916,146.08,0.0,224,0,0.68, 1,2023-02-15 06:33:08
2023/02/15, 06:48:27,-40.583023,-64.999924,146.85,0.0,47,0,0.68, 1,2023-02-15 06:48:27
2023/02/15, 07:03:50,-40.583027,-64.999916,148.85,0.0,0,0,0.81, 1,2023-02-15 07:03:50
2023/02/15, 07:18:59,-40.583031,-64.999908,152.86,0.0,0,0,0.81, 1,2023-02-15 07:18:59
2023/02/15, 07:34:10,-40.583023,-64.999924,151.29,0.0,155,0,1.62, 1,2023-02-15 07:34:10
2023/02/15, 07:49:22,-40.583019,-64.999924,152.93,0.0,265,0,0.44, 1,2023-02-15 07:49:22
2023/02/15, 08:04:43,-40.583035,-64.999931,151.9,0.0,0,0,1.87, 1,2023-02-15 08:04:43
2023/02/15, 08:20:01,-40.583076,-64.999954,148.61,0.0,65,0,4.96, 1,2023-02-15 08:20:01
2023/02/15, 08:35:24,-40.583076,-64.999962,149.67,0.0,258,0,0.68, 1,2023-02-15 08:35:24
2023/02/15, 08:50:54,-40.583054,-64.999931,155.26,468.0,47,0,3.58, 1,2023-02-15 08:50:54
2023/02/15, 09:07:02,-40.583054,-64.999916,154.61,612.0,353,0,1.27, 1,2023-02-15 09:07:02
2023/02/15, 09:22:32,-40.583054,-64.999901,155.65,0.0,75,0,1.27, 1,2023-02-15 09:22:32
2023/02/15, 09:38:08,-40.583076,-64.999992,152.84,0.0,142,0,8.06, 1,2023-02-15 09:38:08
2023/02/15, 09:53:50,-40.583015,-65.000038,151.5,0.0,353,0,7.82, 1,2023-02-15 09:53:50
2023/02/15, 10:09:23,-40.583035,-65.00013,147.98,0.0,281,0,8.08, 1,2023-02-15 10:09:23
2023/02/15, 10:24:40,-40.583027,-65.000229,150.82,0.0,35,0,8.41, 1,2023-02-15 10:24:40
2023/02/15, 10:39:57,-40.583004,-65.000259,157.27,0.0,0,0,3.6, 1,2023-02-15 10:39:57
2023/02/15, 10:55:13,-40.582943,-65.000305,143.56,0.0,104,0,7.82, 1,2023-02-15 10:55:13
2023/02/15, 11:10:50,-40.582947,-65.000443,155.28,288.0,222,0,11.66, 1,2023-02-15 11:10:50
2023/02/15, 11:26:13,-40.582848,-65.000282,162.29,0.0,222,0,17.49, 1,2023-02-15 11:26:13
2023/02/15, 11:41:48,-40.582981,-65.000412,153.8,684.0,236,0,18.42, 1,2023-02-15 11:41:48
2023/02/15, 11:56:47,-40.582935,-65.000366,155.42,0.0,59,0,6.42, 1,2023-02-15 11:56:47
2023/02/15, 12:12:07,-40.582947,-65.000374,170.21,0.0,167,0,1.5, 1,2023-02-15 12:12:07
2023/02/15, 12:27:26,-40.582973,-65.000366,160.67,0.0,39,0,2.97, 1,2023-02-15 12:27:26
2023/02/15, 12:42:46,-40.582951,-65.000328,154.82,0.0,280,0,4.04, 1,2023-02-15 12:42:46
2023/02/15, 12:58:05,-40.582935,-65.000389,146.66,0.0,226,0,5.45, 1,2023-02-15 12:58:05
2023/02/15, 13:13:33,-40.582958,-65.00045,153.46,0.0,91,0,5.75, 1,2023-02-15 13:13:33
2023/02/15, 13:29:25,-40.582973,-65.000359,167.11,0.0,137,0,7.86, 1,2023-02-15 13:29:25
2023/02/15, 13:45:57,-40.583157,-65.00074,152.35,936.0,244,0,38.13, 1,2023-02-15 13:45:57
2023/02/15, 14:02:32,-40.583092,-65.000809,156.42,108.0,23,0,9.28, 1,2023-02-15 14:02:32
2023/02/15, 14:22:56,-40.583061,-65.000786,156.1,0.0,0,0,3.96, 1,2023-02-15 14:22:56
2023/02/15, 14:37:35,-40.583061,-65.000771,156.06,288.0,258,0,1.27, 1,2023-02-15 14:37:35
2023/02/15, 14:52:08,-40.58305,-65.000778,153.57,0.0,21,0,1.36, 1,2023-02-15 14:52:08
2023/02/15, 15:07:03,-40.583046,-65.000771,156.0,0.0,0,0,0.74, 1,2023-02-15 15:07:03
2023/02/15, 15:22:30,-40.583054,-65.000786,155.73,0.0,65,0,1.55, 1,2023-02-15 15:22:30
2023/02/15, 15:38:15,-40.583073,-65.000923,155.95,0.0,15,0,11.76, 1,2023-02-15 15:38:15
2023/02/15, 15:54:00,-40.583069,-65.0009,158.73,72.0,318,0,1.99, 1,2023-02-15 15:54:00
2023/02/15, 16:09:25,-40.583076,-65.000885,156.94,0.0,55,0,1.49, 1,2023-02-15 16:09:25
2023/02/15, 16:24:28,-40.58308,-65.0009,157.77,0.0,56,0,1.34, 1,2023-02-15 16:24:28
2023/02/15, 16:39:25,-40.583088,-65.000885,156.6,180.0,140,0,1.55, 1,2023-02-15 16:39:25
2023/02/15, 16:54:13,-40.583076,-65.000877,154.79,0.0,6,0,1.5, 1,2023-02-15 16:54:13
2023/02/15, 17:09:50,-40.583096,-65.0009,156.37,180.0,139,0,2.95, 1,2023-02-15 17:09:50
2023/02/15, 17:24:56,-40.583099,-65.0009,154.81,0.0,0,0,0.33, 1,2023-02-15 17:24:56
2023/02/15, 17:39:56,-40.583088,-65.000893,154.5,0.0,0,0,1.36, 1,2023-02-15 17:39:56
2023/02/15, 17:54:53,-40.58308,-65.0009,152.31,0.0,182,0,1.07, 1,2023-02-15 17:54:53
2023/02/15, 18:10:07,-40.583092,-65.000908,151.71,0.0,0,0,1.5, 1,2023-02-15 18:10:07
2023/02/15, 18:25:23,-40.583076,-65.000908,153.9,0.0,25,0,1.78, 1,2023-02-15 18:25:23
2023/02/15, 18:40:36,-40.583073,-65.000908,155.81,0.0,22,0,0.33, 1,2023-02-15 18:40:36
2023/02/15, 18:55:46,-40.583088,-65.000893,155.02,0.0,226,0,2.09, 1,2023-02-15 18:55:46
2023/02/15, 19:10:57,-40.583073,-65.000923,152.97,0.0,20,0,3.03, 1,2023-02-15 19:10:57
2023/02/15, 19:26:00,-40.583088,-65.000908,155.65,0.0,89,0,2.09, 1,2023-02-15 19:26:00
2023/02/15, 19:41:00,-40.583076,-65.000885,153.29,0.0,32,0,2.36, 1,2023-02-15 19:41:00
2023/02/15, 19:55:54,-40.583088,-65.000885,157.23,180.0,332,0,1.33, 1,2023-02-15 19:55:54
2023/02/15, 20:10:59,-40.583099,-65.000877,151.3,0.0,6,0,1.4, 1,2023-02-15 20:10:59
2023/02/15, 20:26:04,-40.583061,-65.000862,150.98,144.0,0,0,4.41, 1,2023-02-15 20:26:04
2023/02/15, 20:41:32,-40.583084,-65.000885,154.95,216.0,46,0,3.21, 1,2023-02-15 20:41:32
2023/02/15, 20:56:26,-40.583073,-65.000908,156.11,0.0,0,-4,2.3, 1,2023-02-15 20:56:26
2023/02/16, 01:01:51,-40.583073,-65.000916,155.56,432.0,148,-2,0.0, 1,2023-02-16 01:01:51
2023/02/16, 01:16:48,-40.583076,-65.000931,152.86,0.0,214,0,1.31, 1,2023-02-16 01:16:48
2023/02/16, 01:31:42,-40.583057,-65.0009,156.4,0.0,11,0,3.36, 1,2023-02-16 01:31:42
2023/02/16, 01:46:34,-40.583073,-65.000908,157.19,0.0,168,-4,1.9, 1,2023-02-16 01:46:34
2023/02/16, 06:02:20,-40.583046,-65.000908,151.29,72.0,175,-2,0.0, 1,2023-02-16 06:02:20
2023/02/16, 06:17:32,-40.58305,-65.000908,150.66,0.0,337,0,0.44, 1,2023-02-16 06:17:32
2023/02/16, 06:32:43,-40.58305,-65.000923,152.57,0.0,352,0,1.27, 1,2023-02-16 06:32:43
2023/02/16, 06:47:54,-40.583046,-65.000931,155.72,0.0,0,0,0.81, 1,2023-02-16 06:47:54
2023/02/16, 07:03:09,-40.583065,-65.000931,154.95,0.0,0,0,2.11, 1,2023-02-16 07:03:09
2023/02/16, 07:18:31,-40.583057,-65.000916,152.85,0.0,186,0,1.55, 1,2023-02-16 07:18:31
2023/02/16, 07:33:53,-40.583061,-65.000931,151.58,0.0,220,0,1.34, 1,2023-02-16 07:33:53
2023/02/16, 07:49:16,-40.583054,-65.000931,153.67,0.0,219,0,0.78, 1,2023-02-16 07:49:16
2023/02/16, 08:04:41,-40.583027,-65.000916,153.51,0.0,0,0,3.26, 1,2023-02-16 08:04:41
2023/02/16, 08:19:56,-40.583008,-65.000923,154.71,0.0,358,0,2.19, 1,2023-02-16 08:19:56
2023/02/16, 08:35:17,-40.583054,-65.000908,159.13,396.0,41,0,5.27, 1,2023-02-16 08:35:17
2023/02/16, 08:50:41,-40.583046,-65.000923,159.08,432.0,0,0,1.55, 1,2023-02-16 08:50:41
2023/02/16, 09:06:33,-40.58305,-65.000931,157.48,72.0,8,0,0.81, 1,2023-02-16 09:06:33
2023/02/16, 09:22:00,-40.58305,-65.000908,157.23,0.0,37,0,1.94, 1,2023-02-16 09:22:00
2023/02/16, 09:37:29,-40.583046,-65.000923,156.54,0.0,335,0,1.34, 1,2023-02-16 09:37:29
2023/02/16, 09:53:00,-40.583046,-65.000908,155.72,0.0,3,0,1.27, 1,2023-02-16 09:53:00
2023/02/16, 10:08:22,-40.583069,-65.000916,158.34,0.0,5,0,2.65, 1,2023-02-16 10:08:22
2023/02/16, 10:23:35,-40.583069,-65.000938,155.15,0.0,39,0,1.86, 1,2023-02-16 10:23:35
2023/02/16, 10:38:52,-40.583065,-65.000923,160.26,0.0,66,0,1.34, 1,2023-02-16 10:38:52
2023/02/16, 10:54:12,-40.583054,-65.000916,160.48,0.0,180,0,1.36, 1,2023-02-16 10:54:12
2023/02/16, 11:09:39,-40.583054,-65.000923,159.39,0.0,2,0,0.59, 1,2023-02-16 11:09:39
2023/02/16, 11:25:08,-40.58305,-65.000893,157.32,0.0,0,0,2.57, 1,2023-02-16 11:25:08
2023/02/16, 11:40:41,-40.583035,-65.000847,161.81,0.0,197,0,4.23, 1,2023-02-16 11:40:41
2023/02/16, 11:56:20,-40.583038,-65.000893,154.52,0.0,341,0,3.9, 1,2023-02-16 11:56:20
2023/02/16, 12:11:42,-40.583054,-65.000961,142.54,936.0,55,0,6.01, 1,2023-02-16 12:11:42
2023/02/16, 12:27:20,-40.583046,-65.000916,153.06,252.0,36,0,3.9, 1,2023-02-16 12:27:20
