Date,Time,Latitude,Longitude
2022/01/30,10:37:20,-40.580101,-64.995911
2022/01/30,10:53:09,-40.579945,-64.996330
2022/01/30,11:08:42,-40.580086,-64.995956
2022/01/30,11:24:27,-40.579857,-64.995674
2022/01/30,11:40:26,-40.579277,-64.995712
2022/01/30,11:56:21,-40.579121,-64.996208
2022/01/30,12:11:47,-40.579533,-64.996513
2022/01/30,12:26:45,-40.579262,-64.996269
2022/01/30,12:41:30,-40.579262,-64.996262
2022/01/30,12:56:08,-40.579273,-64.996307
2022/01/30,13:12:00,-40.579296,-64.996498
2022/01/30,13:30:59,-40.579258,-64.996513
2022/01/30,13:46:10,-40.579269,-64.996567
2022/01/30,14:01:25,-40.579254,-64.996597
2022/01/30,14:16:44,-40.579418,-64.996803
2022/01/30,14:32:12,-40.579220,-64.997711
2022/01/30,14:48:11,-40.579063,-64.997215
2022/01/30,15:04:06,-40.579250,-64.996727
2022/01/30,15:19:02,-40.579189,-64.996948
2022/01/30,15:33:45,-40.579365,-64.996735
2022/01/30,15:48:21,-40.579746,-64.996849
2022/01/30,16:03:11,-40.580402,-64.996994
2022/01/30,16:18:23,-40.580425,-64.997116
2022/01/30,16:33:34,-40.580139,-64.997360
2022/01/30,16:49:02,-40.578632,-64.997055
2022/01/30,17:04:35,-40.579163,-64.996841
2022/01/30,17:22:18,-40.579041,-64.996422
2022/01/30,18:05:57,-40.579044,-64.997353
2022/01/30,18:21:15,-40.579082,-64.997292
2022/01/30,18:36:34,-40.579041,-64.997231
2022/01/30,18:51:50,-40.578922,-64.997101
2022/01/30,19:07:22,-40.578789,-64.996948
2022/01/30,19:26:38,-40.579300,-64.996826
2022/01/30,19:42:12,-40.579105,-64.996552
2022/01/30,20:04:15,-40.579128,-64.996872
2022/01/30,20:19:32,-40.578987,-64.996902
2022/01/30,20:35:21,-40.578754,-64.997017
2022/01/30,20:57:57,-40.578762,-64.996933
2022/01/31,06:02:03,-40.578793,-64.997032
2022/01/31,06:17:29,-40.578781,-64.997032
2022/01/31,06:32:56,-40.578751,-64.997025
2022/01/31,06:48:27,-40.578724,-64.996986
2022/01/31,07:04:01,-40.578766,-64.997040
2022/01/31,07:19:34,-40.578766,-64.997063
2022/01/31,07:35:25,-40.578781,-64.997040
2022/01/31,07:51:28,-40.578770,-64.997055
2022/01/31,08:11:01,-40.578789,-64.997040
2022/01/31,08:30:09,-40.578789,-64.997032
2022/01/31,08:45:31,-40.578785,-64.997047
2022/01/31,09:00:57,-40.578819,-64.997047
2022/01/31,09:16:27,-40.578800,-64.997040
2022/01/31,09:32:00,-40.578835,-64.997055
2022/01/31,09:49:13,-40.578796,-64.997063
2022/01/31,10:04:46,-40.578819,-64.997070
2022/01/31,10:20:27,-40.578781,-64.997070
2022/01/31,10:36:54,-40.578812,-64.997055
2022/01/31,11:00:57,-40.578781,-64.997116
2022/01/31,11:29:26,-40.578823,-64.997025
2022/01/31,11:44:22,-40.578789,-64.997063
2022/01/31,11:59:18,-40.578762,-64.997139
2022/01/31,12:17:03,-40.578842,-64.997528
2022/01/31,12:32:17,-40.578815,-64.997696
2022/01/31,12:50:41,-40.578808,-64.997704
2022/01/31,13:17:40,-40.578796,-64.997719
2022/01/31,13:32:41,-40.578854,-64.997772
2022/01/31,13:47:25,-40.578835,-64.997772
2022/01/31,14:03:21,-40.578857,-64.997795
2022/01/31,14:30:41,-40.578850,-64.997818
2022/01/31,14:45:46,-40.578865,-64.997810
2022/01/31,15:00:51,-40.578880,-64.997795
2022/01/31,15:15:53,-40.578865,-64.997780
2022/01/31,15:31:08,-40.578827,-64.997719
2022/01/31,15:46:46,-40.578854,-64.997841
2022/01/31,16:02:10,-40.578835,-64.997818
2022/01/31,16:17:31,-40.578823,-64.997787
2022/01/31,16:32:55,-40.578812,-64.997742
2022/01/31,16:48:36,-40.578815,-64.997879
2022/01/31,17:04:32,-40.578796,-64.997803
2022/01/31,17:20:20,-40.578815,-64.997902
2022/02/01,07:53:08,-40.578938,-64.997879
2022/02/01,09:05:34,-40.578938,-64.997879
2022/02/01,09:21:30,-40.578915,-64.997910
2022/02/01,09:52:27,-40.578938,-64.998039
2022/02/01,10:08:01,-40.578999,-64.997955
2022/02/01,11:07:38,-40.579414,-64.997734
2022/02/01,11:22:59,-40.579494,-64.997711
2022/02/01,11:38:21,-40.579456,-64.997665
2022/02/01,11:53:33,-40.579472,-64.997681
2022/02/01,12:08:53,-40.579483,-64.997665
2022/02/01,12:24:12,-40.579460,-64.997665
2022/02/01,12:39:31,-40.579456,-64.997658
2022/02/01,12:54:52,-40.579464,-64.997643
2022/02/01,13:10:19,-40.579449,-64.997665
2022/02/01,13:25:41,-40.579460,-64.997650
2022/02/01,13:40:57,-40.579475,-64.997627
2022/02/01,13:56:32,-40.579472,-64.997696
2022/02/01,14:11:45,-40.579472,-64.997704
2022/02/01,14:26:44,-40.579464,-64.997696
2022/02/01,14:41:38,-40.579483,-64.997650
2022/02/01,14:56:31,-40.579498,-64.997673
2022/02/01,15:11:52,-40.579494,-64.997665
2022/02/01,15:27:19,-40.579502,-64.997688
2022/02/01,15:42:51,-40.579529,-64.997704
2022/02/01,15:58:29,-40.579540,-64.997711
2022/02/01,16:13:58,-40.579571,-64.997765
2022/02/01,16:29:31,-40.579506,-64.997665
2022/02/01,16:44:37,-40.579472,-64.997658
2022/02/01,16:59:40,-40.579479,-64.997643
2022/02/01,17:14:42,-40.579468,-64.997650
2022/02/01,17:29:41,-40.579449,-64.997673
2022/02/01,17:44:36,-40.579472,-64.997643
2022/02/01,17:59:30,-40.579475,-64.997635
2022/02/01,18:14:25,-40.579472,-64.997635
2022/02/01,18:29:16,-40.579464,-64.997635
2022/02/01,18:44:05,-40.579460,-64.997635
2022/02/01,18:58:52,-40.579453,-64.997635
2022/02/01,19:14:51,-40.579453,-64.997581
