Longitude,Latitude,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpxtpx_TrackPointExtension,mat_TrackPointExtension,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,dateTime
-65.000146,-40.583005,0,6,10,180.2,2023/02/28,12:49:44.221+00,,,,,,,,,,,,,,,,7,1.10000002384186,,,,,,,,,,,,,,,,,<gpxtpx:speed>1.01999998092651</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>80.7200012207031</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>10</mat:sat_view>,2023-02-28 09:49:44.221000+00:00
-65.00007,-40.582828,0,6,11,165.5,2023/02/28,13:04:54.072+00,,,,,,,,,,,,,,,,7,1.10000002384186,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.140000000596046</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>261.459991455078</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>10</mat:sat_view>,2023-02-28 10:04:54.072000+00:00
-64.999981,-40.58277,0,6,12,138.6,2023/02/28,13:20:02.892+00,,,,,,,,,,,,,,,,7,1.0,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.200000002980232</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>120.069999694824</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>9</mat:sat_view>,2023-02-28 10:20:02.892000+00:00
-65.000038,-40.582875,0,6,13,136.3,2023/02/28,13:35:10.731+00,,,,,,,,,,,,,,,,6,1.0,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.129999995231628</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>127.779998779297</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>9</mat:sat_view>,2023-02-28 10:35:10.731000+00:00
-64.999901,-40.582933,0,6,14,141.9,2023/02/28,13:50:19.590+00,,,,,,,,,,,,,,,,7,1.0,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.119999997317791</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>281.450012207031</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>10</mat:sat_view>,2023-02-28 10:50:19.590000+00:00
-65.000035,-40.582936,0,6,15,137.1,2023/02/28,14:05:28.422+00,,,,,,,,,,,,,,,,6,1.70000004768372,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.259999990463257</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>32.4000015258789</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>10</mat:sat_view>,2023-02-28 11:05:28.422000+00:00
-64.999888,-40.582911,0,6,16,139.3,2023/02/28,14:20:36.226+00,,,,,,,,,,,,,,,,8,1.10000002384186,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.46000000834465</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>54.4000015258789</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>10</mat:sat_view>,2023-02-28 11:20:36.226000+00:00
-64.999921,-40.582978,0,6,17,146.4,2023/02/28,14:36:04+00,,,,,,,,,,,,,,,,7,1.0,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.170000001788139</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>169.460006713867</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>10</mat:sat_view>,2023-02-28 11:36:04+00:00
-64.999748,-40.583045,0,6,18,157.3,2023/02/28,14:51:08.762+00,,,,,,,,,,,,,,,,7,1.0,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.409999996423721</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>231</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>9</mat:sat_view>,2023-02-28 11:51:08.762000+00:00
-64.999746,-40.583136,0,6,19,161.4,2023/02/28,15:06:16.523+00,,,,,,,,,,,,,,,,6,0.899999976158142,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.620000004768372</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>245.550003051758</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>9</mat:sat_view>,2023-02-28 12:06:16.523000+00:00
-64.99955,-40.58325,0,6,20,152.2,2023/02/28,15:21:31.325+00,,,,,,,,,,,,,,,,7,1.0,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.620000004768372</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>220.5</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>10</mat:sat_view>,2023-02-28 12:21:31.325000+00:00
-64.999551,-40.583208,0,6,21,147.2,2023/02/28,15:36:49+00,,,,,,,,,,,,,,,,7,1.0,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.150000005960464</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>161.059997558594</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>11</mat:sat_view>,2023-02-28 12:36:49+00:00
-64.999726,-40.582588,0,6,22,144.0,2023/02/28,15:51:58.752+00,,,,,,,,,,,,,,,,6,1.39999997615814,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.200000002980232</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>297.760009765625</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>11</mat:sat_view>,2023-02-28 12:51:58.752000+00:00
-64.999615,-40.583291,0,6,23,173.4,2023/02/28,16:07:08.660+00,,,,,,,,,,,,,,,,5,0.899999976158142,,,,,,,,,,,,,,,,,<gpxtpx:speed>0.389999985694885</gpxtpx:speed>,,,,,,,,,,,,<gpxtpx:course>183.809997558594</gpxtpx:course>,,,,,,,,,,,,,,,,,,,,,,,<mat:sat_view>9</mat:sat_view>,2023-02-28 13:07:08.660000+00:00
