Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential,dateTime
2023/02/06, 08:42:59,-40.734303,-64.937851,14.39,324.0,246,-2,0.0, 1,2023-02-06 08:42:59
2023/02/06, 13:52:24,-40.734303,-64.937851,14.39,324.0,246,0,0.0, 1,2023-02-06 13:52:24
2023/02/06, 14:19:27,-40.734249,-64.937309,71.24,3168.0,53,0,46.06, 1,2023-02-06 14:19:27
2023/02/06, 18:50:13,-40.734249,-64.937309,71.24,3168.0,53,0,0.0, 1,2023-02-06 18:50:13
2023/02/06, 19:50:31,-40.734287,-64.937683,23.68,1908.0,30,-4,31.79, 1,2023-02-06 19:50:31
2023/02/09, 19:06:12,-40.734604,-64.93795,-4.22,0.0,28,-2,0.0, 1,2023-02-09 19:06:12
2023/02/09, 19:58:23,-40.73428,-64.93766,8.32,1692.0,4,0,43.53, 1,2023-02-09 19:58:23
2023/02/09, 20:43:18,-40.734825,-64.936989,27.7,3564.0,297,-4,82.88, 1,2023-02-09 20:43:18
2023/02/10, 01:04:45,-40.734406,-64.937737,9.31,4860.0,58,-2,0.0, 1,2023-02-10 01:04:45
2023/02/10, 06:03:29,-40.734406,-64.937737,9.31,828.0,262,0,0.0, ,2023-02-10 06:03:29
2023/02/10, 06:35:41,-40.734573,-64.937401,60.15,1980.0,107,0,33.86, 1,2023-02-10 06:35:41
2023/02/10, 07:19:51,-40.734573,-64.937401,60.15,1980.0,107,0,0.0, 1,2023-02-10 07:19:51
2023/02/10, 07:35:29,-40.734493,-64.93779,7.1,1548.0,281,0,33.96, 1,2023-02-10 07:35:29
2023/02/10, 07:56:05,-40.731709,-64.955635,-14.34,30888.0,285,0,1535.13, 1,2023-02-10 07:56:05
2023/02/10, 08:11:08,-40.627834,-65.008728,129.0,102816.0,5,0,12387.73, 1,2023-02-10 08:11:08
2023/02/10, 08:26:01,-40.584606,-65.001282,149.58,0.0,282,0,4847.66, 1,2023-02-10 08:26:01
2023/02/10, 08:40:54,-40.584782,-65.004333,129.97,1188.0,174,0,258.39, 1,2023-02-10 08:40:54
2023/02/10, 08:55:43,-40.584805,-65.004303,147.86,864.0,75,0,3.6, 1,2023-02-10 08:55:43
2023/02/10, 09:11:20,-40.58477,-65.004318,153.08,72.0,124,0,4.09, 1,2023-02-10 09:11:20
2023/02/10, 09:42:39,-40.584782,-65.004295,154.97,0.0,0,0,2.36, 1,2023-02-10 09:42:39
2023/02/10, 09:57:57,-40.584805,-65.00425,153.58,0.0,14,0,4.58, 1,2023-02-10 09:57:57
2023/02/10, 10:13:01,-40.584801,-65.004196,159.05,0.0,0,0,4.58, 1,2023-02-10 10:13:01
2023/02/10, 10:28:08,-40.584801,-65.004158,150.0,0.0,191,0,3.21, 1,2023-02-10 10:28:08
2023/02/10, 10:43:20,-40.584778,-65.00412,153.46,0.0,44,0,4.1, 1,2023-02-10 10:43:20
2023/02/10, 10:58:41,-40.584824,-65.004112,154.32,0.0,0,0,5.16, 1,2023-02-10 10:58:41
2023/02/10, 11:14:03,-40.584839,-65.004204,151.29,0.0,24,0,7.95, 1,2023-02-10 11:14:03
2023/02/10, 11:29:34,-40.584824,-65.004356,152.61,432.0,229,0,12.94, 1,2023-02-10 11:29:34
2023/02/10, 11:44:41,-40.584785,-65.004341,152.4,0.0,314,0,4.52, 1,2023-02-10 11:44:41
2023/02/10, 12:00:01,-40.58477,-65.004272,152.6,180.0,0,0,6.06, 1,2023-02-10 12:00:01
