day;time distance;space distance;time;name one;name two
2022/01/30;152.71666666666667;19;1900-01-01T15:00:09.000000000;T12;T6
2022/01/30;137.45;18;1900-01-01T15:00:09.000000000;T12;T6
2022/01/30;122.28333333333333;19;1900-01-01T15:00:09.000000000;T12;T6
2022/01/30;169.0;16;1900-01-01T15:16:26.000000000;T12;T6
2022/01/30;153.73333333333332;15;1900-01-01T15:16:26.000000000;T12;T6
2022/01/30;138.56666666666666;16;1900-01-01T15:16:26.000000000;T12;T6
2022/01/30;185.1;14;1900-01-01T15:32:32.000000000;T12;T6
2022/01/30;169.83333333333334;13;1900-01-01T15:32:32.000000000;T12;T6
2022/01/30;154.66666666666666;14;1900-01-01T15:32:32.000000000;T12;T6
2022/01/30;201.25;15;1900-01-01T15:48:41.000000000;T12;T6
2022/01/30;185.98333333333332;14;1900-01-01T15:48:41.000000000;T12;T6
2022/01/30;170.81666666666666;15;1900-01-01T15:48:41.000000000;T12;T6
2022/01/30;232.48333333333332;16;1900-01-01T16:19:55.000000000;T12;T6
2022/01/30;217.21666666666667;16;1900-01-01T16:19:55.000000000;T12;T6
2022/01/30;202.05;16;1900-01-01T16:19:55.000000000;T12;T6
2022/01/30;186.73333333333332;19;1900-01-01T16:19:55.000000000;T12;T6
2022/01/30;247.63333333333333;16;1900-01-01T16:35:04.000000000;T12;T6
2022/01/30;232.36666666666667;16;1900-01-01T16:35:04.000000000;T12;T6
2022/01/30;217.2;16;1900-01-01T16:35:04.000000000;T12;T6
2022/01/30;292.18333333333334;19;1900-01-01T16:50:21.000000000;T12;T6
2022/01/30;262.9166666666667;15;1900-01-01T16:50:21.000000000;T12;T6
2022/01/30;247.65;15;1900-01-01T16:50:21.000000000;T12;T6
2022/01/30;232.48333333333332;15;1900-01-01T16:50:21.000000000;T12;T6
2022/01/30;217.16666666666666;19;1900-01-01T16:50:21.000000000;T12;T6
2022/01/30;388.18333333333334;10;1900-01-01T12:06:46.000000000;T30;T6
2022/01/30;403.25;11;1900-01-01T12:06:46.000000000;T30;T6
2022/01/30;418.56666666666666;11;1900-01-01T12:06:46.000000000;T30;T6
2022/01/30;433.8;19;1900-01-01T12:06:46.000000000;T30;T6
2022/01/30;449.0;12;1900-01-01T12:06:46.000000000;T30;T6
2022/01/30;464.68333333333334;9;1900-01-01T12:06:46.000000000;T30;T6
2022/01/30;480.01666666666665;9;1900-01-01T12:06:46.000000000;T30;T6
2022/01/30;495.25;11;1900-01-01T12:06:46.000000000;T30;T6
