day;daydif;space distance;sex one;sex two;name one;name two
1/12/2020;1/12/2020;16;macho;macho;T10;T171
1/12/2020;1/12/2020;17;macho;macho;T10;T171
1/12/2020;1/12/2020;13;macho;macho;T10;T171
1/12/2020;1/12/2020;12;macho;macho;T10;T171
1/12/2020;1/12/2020;16;macho;macho;T10;T171
1/12/2020;1/12/2020;16;macho;macho;T10;T171
1/12/2020;1/12/2020;8;macho;macho;T10;T171
1/12/2020;1/12/2020;6;macho;macho;T10;T171
1/12/2020;1/12/2020;6;macho;macho;T10;T171
1/12/2020;1/12/2020;10;macho;macho;T10;T171
1/12/2020;1/12/2020;6;macho;macho;T10;T171
1/12/2020;1/12/2020;5;macho;macho;T10;T171
1/12/2020;1/12/2020;18;macho;macho;T10;T171
1/12/2020;1/12/2020;2;macho;macho;T10;T171
1/12/2020;1/12/2020;5;macho;macho;T10;T171
1/12/2020;1/12/2020;8;macho;macho;T10;T171
1/12/2020;1/12/2020;9;macho;macho;T10;T171
1/12/2020;1/12/2020;12;macho;macho;T10;T171
1/12/2020;1/12/2020;5;macho;macho;T10;T171
1/12/2020;1/12/2020;16;macho;macho;T10;T171
1/12/2020;1/12/2020;16;macho;macho;T10;T171
1/12/2020;1/12/2020;3;macho;macho;T10;T171
1/12/2020;1/12/2020;11;macho;macho;T10;T171
1/12/2020;1/12/2020;11;macho;macho;T10;T171
1/12/2020;1/12/2020;17;macho;macho;T10;T171
1/12/2020;1/12/2020;3;macho;macho;T10;T171
1/12/2020;1/12/2020;4;macho;macho;T10;T171
1/12/2020;1/12/2020;9;macho;macho;T10;T171
1/12/2020;1/12/2020;17;macho;macho;T10;T171
1/12/2020;1/12/2020;12;macho;macho;T10;T171
1/12/2020;1/12/2020;19;macho;macho;T10;T171
1/12/2020;1/12/2020;13;macho;macho;T10;T171
1/12/2020;1/12/2020;15;macho;macho;T10;T171
1/12/2020;1/12/2020;12;macho;macho;T10;T171
1/12/2020;1/12/2020;13;macho;macho;T10;T171
1/12/2020;1/12/2020;19;macho;macho;T10;T171
1/12/2020;1/12/2020;18;macho;macho;T10;T171
