day;time distance;space distance;sex one;sex two;time;name one;name two
1/12/2020;223.0;16;macho;macho;1900-01-01T12:35:00.000000000;T10;T171
1/12/2020;233.0;17;macho;macho;1900-01-01T12:35:00.000000000;T10;T171
1/12/2020;17.0;13;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;21.0;12;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;26.0;16;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;31.0;16;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;36.0;8;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;42.0;6;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;47.0;6;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;67.0;10;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;77.0;6;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;92.0;5;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;97.0;18;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;102.0;2;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;107.0;5;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;47.0;8;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;117.0;9;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;122.0;12;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;127.0;5;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;318.0;16;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;394.0;16;macho;macho;1900-01-01T13:21:00.000000000;T10;T171
1/12/2020;25.0;3;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;15.0;11;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;20.0;11;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;45.0;17;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;65.0;3;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;70.0;4;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;75.0;9;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;80.0;17;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;85.0;12;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
1/12/2020;96.0;19;macho;macho;1900-01-01T14:38:00.000000000;T10;T171
