lat;lon;date;timeGMT;tempIMU;metodologia;sexo;tempmax(C);tempmin(C);tempmed(C);Temprocíomediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km)
-40.584736;-64.999203;21/1/2022;1132;26.94;tortugometro;hembra;24.4;18.8;21.6;20.4;92.3;NNE;21;1013;*;7;3.9;21.8
-40.584749;-64.999265;21/1/2022;1143;28.4;tortugometro;hembra;24.4;18.8;21.6;20.4;92.3;NNE;21;1013;*;7;3.9;21.8
-40.58473;-64.999272;21/1/2022;1153;25.07;tortugometro;hembra;24.4;18.8;21.6;20.4;92.3;NNE;21;1013;*;7;3.9;21.8
-40.584749;-64.999266;21/1/2022;1203;24.99;tortugometro;hembra;24.4;10.5;17.4;19.6;89;NNE;22.4;1012.7;21;6.4;3.9;"23.5 	"
-40.584745;-64.999274;21/1/2022;1213;25.56;tortugometro;hembra;24.4;10.5;17.4;19.6;89;NNE;22.4;1012.7;21;6.4;3.9;23.5
-40.584743;-64.999266;21/1/2022;1223;27.13;tortugometro;hembra;24.4;10.5;17.4;19.6;89;NNE;22.4;1012.7;21;6.4;3.9;23.5
-40.584748;-64.999274;21/1/2022;1233;29.72;tortugometro;hembra;24.4;10.5;17.4;19.6;89;NNE;22.4;1012.7;21;6.4;3.9;23.5
-40.584732;-64.999262;21/1/2022;1243;33.86;tortugometro;hembra;24.4;10.5;17.4;19.6;89;NNE;22.4;1012.7;21;6.4;3.9;23.5
-40.584759;-64.999368;21/1/2022;1253;36.07;tortugometro;hembra;24.4;10.5;17.4;19.6;89;NNE;22.4;1012.7;21;6.4;3.9;23.5
-40.58501;-64.999553;21/1/2022;1303;38.09;tortugometro;hembra;24.4;10.5;17.4;18.7;84.7;N;23.2;1012.3;20.5;5.8;3.9;25.2
-40.58477;-64.999404;21/1/2022;1313;41.13;tortugometro;hembra;24.4;10.5;17.4;18.7;84.7;N;23.2;1012.3;20.5;5.8;3.9;25.2
-40.584756;-64.99939;21/1/2022;1323;44.52;tortugometro;hembra;24.4;10.5;17.4;18.7;84.7;N;23.2;1012.3;20.5;5.8;3.9;25.2
-40.58486;-64.99944;21/1/2022;1333;46.67;tortugometro;hembra;24.4;10.5;17.4;18.7;84.7;N;23.2;1012.3;20.5;5.8;3.9;25.2
-40.584907;-64.999494;21/1/2022;1343;45.59;tortugometro;hembra;24.4;10.5;17.4;18.7;84.7;N;23.2;1012.3;20.5;5.8;3.9;25.2
-40.584898;-64.999495;21/1/2022;1353;45.55;tortugometro;hembra;24.4;10.5;17.4;18.7;84.7;N;23.2;1012.3;20.5;5.8;3.9;25.2
-40.584888;-64.999499;21/1/2022;1403;44.26;tortugometro;hembra;24.4;10.5;17.4;17.6;79.7;N;23.9;1012;20.5;5.2;3.9;26.9
-40.584956;-64.999485;21/1/2022;1413;47.44;tortugometro;hembra;24.4;10.5;17.4;17.6;79.7;N;23.9;1012;20.5;5.2;3.9;26.9
-40.585014;-64.999399;21/1/2022;1423;50.35;tortugometro;hembra;24.4;10.5;17.4;17.6;79.7;N;23.9;1012;20.5;5.2;3.9;26.9
-40.585177;-64.999398;21/1/2022;1433;52.74;tortugometro;hembra;24.4;10.5;17.4;17.6;79.7;N;23.9;1012;20.5;5.2;3.9;26.9
-40.585211;-64.999363;21/1/2022;1443;54.09;tortugometro;hembra;24.4;10.5;17.4;17.6;79.7;N;23.9;1012;20.5;5.2;3.9;26.9
-40.585217;-64.999339;21/1/2022;1454;53.95;tortugometro;hembra;24.4;10.5;17.4;17.6;79.7;N;23.9;1012;20.5;5.2;3.9;26.9
-40.585187;-64.99932;21/1/2022;1503;55.58;tortugometro;hembra;24.4;10.5;17.4;16.6;75;N;24.1;1011.6;20.5;4.6;3.9;27.7
-40.585187;-64.999314;21/1/2022;1514;54.23;tortugometro;hembra;24.4;10.5;17.4;16.6;75;N;24.1;1011.6;20.5;4.6;3.9;27.7
-40.585186;-64.999322;21/1/2022;1524;47.09;tortugometro;hembra;24.4;10.5;17.4;16.6;75;N;24.1;1011.6;20.5;4.6;3.9;27.7
-40.585183;-64.999311;21/1/2022;1534;45.08;tortugometro;hembra;24.4;10.5;17.4;16.6;75;N;24.1;1011.6;20.5;4.6;3.9;27.7
-40.58517;-64.999309;21/1/2022;1544;49.89;tortugometro;hembra;24.4;10.5;17.4;16.6;75;N;24.1;1011.6;20.5;4.6;3.9;27.7
-40.584955;-64.998944;21/1/2022;1554;56.44;tortugometro;hembra;24.4;10.5;17.4;16.6;75;N;24.1;1011.6;20.5;4.6;3.9;27.7
-40.585063;-64.998678;22/1/2022;1109;33.42;tortugometro;hembra;28.2;17.8;23;5.6;31.5;W;18.1;1010.2;*;0;*;"30.0 	"
-40.58506;-64.998677;22/1/2022;1119;31.19;tortugometro;hembra;28.2;17.8;23;5.6;31.5;W;18.1;1010.2;*;0;*;30
-40.585082;-64.998668;22/1/2022;1129;32.8;tortugometro;hembra;28.2;17.8;23;5.6;31.5;W;18.1;1010.2;*;0;*;30
-40.58512;-64.998706;22/1/2022;1139;33.62;tortugometro;hembra;28.2;17.8;23;5.6;31.5;W;18.1;1010.2;*;0;*;30
-40.585101;-64.998685;22/1/2022;1149;32.66;tortugometro;hembra;28.2;17.8;23;5.6;31.5;W;18.1;1010.2;*;0;*;30
-40.585148;-64.998737;22/1/2022;1159;33.25;tortugometro;hembra;28.2;17.8;23;5.6;31.5;W;18.1;1010.2;*;0;*;30
-40.585153;-64.998716;22/1/2022;1209;35.19;tortugometro;hembra;28.2;11.2;19.7;5.9;31.5;W;17.8;1010;0;0.3;*;30
-40.585151;-64.998753;22/1/2022;1219;39.14;tortugometro;hembra;28.2;11.2;19.7;5.9;31.5;W;17.8;1010;0;0.3;*;30
-40.585148;-64.998697;22/1/2022;1229;37.03;tortugometro;hembra;28.2;11.2;19.7;5.9;31.5;W;17.8;1010;0;0.3;*;30
-40.585113;-64.998769;22/1/2022;1240;37.87;tortugometro;hembra;28.2;11.2;19.7;5.9;31.5;W;17.8;1010;0;0.3;*;30
-40.585121;-64.99877;22/1/2022;1249;39.2;tortugometro;hembra;28.2;11.2;19.7;5.9;31.5;W;17.8;1010;0;0.3;*;30
-40.585135;-64.998773;22/1/2022;1259;47.24;tortugometro;hembra;28.2;11.2;19.7;5.9;31.5;W;17.8;1010;0;0.3;*;30
-40.585138;-64.998841;22/1/2022;1309;49.32;tortugometro;hembra;28.2;11.2;19.7;6.6;32.5;WNW;18;1009.8;0;0.7;3;30
-40.58513;-64.998842;22/1/2022;1319;38.37;tortugometro;hembra;28.2;11.2;19.7;6.6;32.5;WNW;18;1009.8;0;0.7;3;30
-40.585149;-64.998845;22/1/2022;1329;33.88;tortugometro;hembra;28.2;11.2;19.7;6.6;32.5;WNW;18;1009.8;0;0.7;3;30
-40.58513;-64.998832;22/1/2022;1339;31.01;tortugometro;hembra;28.2;11.2;19.7;6.6;32.5;WNW;18;1009.8;0;0.7;3;30
-40.585125;-64.998837;22/1/2022;1349;29.09;tortugometro;hembra;28.2;11.2;19.7;6.6;32.5;WNW;18;1009.8;0;0.7;3;30
-40.585128;-64.998848;22/1/2022;1400;26.46;tortugometro;hembra;28.2;11.2;19.7;7.4;34.8;NNW;18.1;1009.6;0;1.2;4;30
-40.585119;-64.998834;22/1/2022;1410;25.15;tortugometro;hembra;28.2;11.2;19.7;7.4;34.8;NNW;18.1;1009.6;0;1.2;4;30
-40.585124;-64.998842;22/1/2022;1420;24.74;tortugometro;hembra;28.2;11.2;19.7;7.4;34.8;NNW;18.1;1009.6;0;1.2;4;30
-40.584728;-64.999694;22/1/2022;1430;22.64;tortugometro;hembra;28.2;11.2;19.7;7.4;34.8;NNW;18.1;1009.6;0;1.2;4;30
-40.58473;-64.999685;23/1/2022;1136;24.81;tortugometro;hembra;32;17.4;24.7;11.2;47.2;NW;29.2;1006.4;*;5.5;4.6;30
-40.584758;-64.999692;23/1/2022;1146;24.87;tortugometro;hembra;32;17.4;24.7;11.2;47.2;NW;29.2;1006.4;*;5.5;4.6;30
-40.584749;-64.999729;23/1/2022;1156;29.59;tortugometro;hembra;32;17.4;24.7;11.2;47.2;NW;29.2;1006.4;*;5.5;4.6;30
-40.584751;-64.999769;23/1/2022;1206;31.71;tortugometro;hembra;32;12.8;22.4;10.4;45.7;NW;29.5;1006.6;7;5.2;4.4;30
-40.584761;-64.999762;23/1/2022;1217;30.21;tortugometro;hembra;32;12.8;22.4;10.4;45.7;NW;29.5;1006.6;7;5.2;4.4;30
-40.584759;-64.99978;23/1/2022;1227;37.12;tortugometro;hembra;32;12.8;22.4;10.4;45.7;NW;29.5;1006.6;7;5.2;4.4;30
-40.584776;-64.999807;23/1/2022;1237;41.19;tortugometro;hembra;32;12.8;22.4;10.4;45.7;NW;29.5;1006.6;7;5.2;4.4;30
-40.584796;-64.99981;23/1/2022;1247;42.63;tortugometro;hembra;32;12.8;22.4;10.4;45.7;NW;29.5;1006.6;7;5.2;4.4;30
-40.584832;-64.999845;23/1/2022;1257;41.4;tortugometro;hembra;32;12.8;22.4;10.4;45.7;NW;29.5;1006.6;7;5.2;4.4;30
-40.584894;-64.999911;23/1/2022;1307;39.37;tortugometro;hembra;32;12.8;22.4;9.6;43.9;NW;30.2;1006.8;7;5;4.2;30
-40.584916;-64.99993;23/1/2022;1317;41.17;tortugometro;hembra;32;12.8;22.4;9.6;43.9;NW;30.2;1006.8;7;5;4.2;30
-40.584899;-64.999926;23/1/2022;1327;43.67;tortugometro;hembra;32;12.8;22.4;9.6;43.9;NW;30.2;1006.8;7;5;4.2;30
-40.584923;-65.000026;23/1/2022;1337;42.61;tortugometro;hembra;32;12.8;22.4;9.6;43.9;NW;30.2;1006.8;7;5;4.2;30
-40.58501;-64.999996;23/1/2022;1347;42.53;tortugometro;hembra;32;12.8;22.4;9.6;43.9;NW;30.2;1006.8;7;5;4.2;30
-40.585037;-65.000112;23/1/2022;1357;44.99;tortugometro;hembra;32;12.8;22.4;9.6;43.9;NW;30.2;1006.8;7;5;4.2;30
-40.585082;-65.000168;23/1/2022;1407;45.62;tortugometro;hembra;32;12.8;22.4;8.7;41.2;WNW;31.4;1007;7;4.6;3.8;30
-40.585111;-65.000205;23/1/2022;1417;46.52;tortugometro;hembra;32;12.8;22.4;8.7;41.2;WNW;31.4;1007;7;4.6;3.8;30
-40.585155;-65.000221;23/1/2022;1427;43.62;tortugometro;hembra;32;12.8;22.4;8.7;41.2;WNW;31.4;1007;7;4.6;3.8;30
-40.58516;-65.000204;23/1/2022;1437;36.9;tortugometro;hembra;32;12.8;22.4;8.7;41.2;WNW;31.4;1007;7;4.6;3.8;30
-40.585189;-65.000226;23/1/2022;1447;39.59;tortugometro;hembra;32;12.8;22.4;8.7;41.2;WNW;31.4;1007;7;4.6;3.8;30
-40.585271;-65.000226;23/1/2022;1457;32.79;tortugometro;hembra;32;12.8;22.4;8.7;41.2;WNW;31.4;1007;7;4.6;3.8;30
-40.585264;-65.000213;23/1/2022;1507;44.58;tortugometro;hembra;32;12.8;22.4;7.8;36.1;WNW;31.5;1007.1;7;4.2;3.5;30
-40.585277;-65.000195;23/1/2022;1517;45.92;tortugometro;hembra;32;12.8;22.4;7.8;36.1;WNW;31.5;1007.1;7;4.2;3.5;30
-40.585279;-65.000213;23/1/2022;1527;46.29;tortugometro;hembra;32;12.8;22.4;7.8;36.1;WNW;31.5;1007.1;7;4.2;3.5;30
-40.585279;-65.000221;23/1/2022;1537;46.83;tortugometro;hembra;32;12.8;22.4;7.8;36.1;WNW;31.5;1007.1;7;4.2;3.5;30
-40.585288;-65.000206;23/1/2022;1547;47.62;tortugometro;hembra;32;12.8;22.4;7.8;36.1;WNW;31.5;1007.1;7;4.2;3.5;30
-40.585253;-65.000331;23/1/2022;1557;48.41;tortugometro;hembra;32;12.8;22.4;7.8;36.1;WNW;31.5;1007.1;7;4.2;3.5;30
-40.585304;-65.000235;23/1/2022;1608;50.71;tortugometro;hembra;32;12.8;22.4;6.8;31.2;WNW;32.8;1007.3;7;3.8;2.9;"30.0 	"
-40.585303;-65.000244;23/1/2022;1617;52.02;tortugometro;hembra;32;12.8;22.4;6.8;31.2;WNW;32.8;1007.3;7;3.8;2.9;30
-40.5853;-65.000259;23/1/2022;1628;54.29;tortugometro;hembra;32;12.8;22.4;6.8;31.2;WNW;32.8;1007.3;7;3.8;2.9;30
-40.585336;-65.000253;23/1/2022;1638;55.5;tortugometro;hembra;32;12.8;22.4;6.8;31.2;WNW;32.8;1007.3;7;3.8;2.9;30
-40.586312;-65.000851;23/1/2022;1648;56.28;tortugometro;hembra;32;12.8;22.4;6.8;31.2;WNW;32.8;1007.3;7;3.8;2.9;30
-40.586311;-65.000826;24/1/2022;1121;24.06;tortugometro;hembra;32;19.6;25.8;4.6;23.7;WNW;33.9;1009.3;*;1.5;1.1;"30.0 	"
-40.586328;-65.000838;24/1/2022;1131;21.7;tortugometro;hembra;32;19.6;25.8;4.6;23.7;WNW;33.9;1009.3;*;1.5;1.1;30
-40.586334;-65.000915;24/1/2022;1141;21.05;tortugometro;hembra;32;19.6;25.8;4.6;23.7;WNW;33.9;1009.3;*;1.5;1.1;30
-40.586316;-65.000837;24/1/2022;1151;21.02;tortugometro;hembra;32;19.6;25.8;4.6;23.7;WNW;33.9;1009.3;*;1.5;1.1;30
-40.586332;-65.000859;24/1/2022;1201;21.18;tortugometro;hembra;32;13.6;22.8;5.1;24.9;WNW;32.4;1009.5;0;1.4;1.2;"30.0 	"
