lat;lon;date;timeGMT;tempIMU;Metodología;sexo;tempmax(C);tempmin(C);tempmed(C);Temprocíomediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km)
-40.582307;-65.000574;21/1/2022;1205;27.93;tortugometro;;24.4;10.5;17.4;19.6;89;NNE;22.4;1012.7;21;6.4;3.9;23.5
-40.582307;-65.000516;21/1/2022;1216;28.03;tortugometro;;24.4;10.5;17.4;19.6;89;NNE;22.4;1012.7;21;6.4;3.9;23.5
-40.582312;-65.000523;21/1/2022;1225;24.42;tortugometro;;24.4;10.5;17.4;19.6;89;NNE;22.4;1012.7;21;6.4;3.9;23.5
-40.582328;-65.000535;21/1/2022;1235;23.2;tortugometro;;24.4;10.5;17.4;19.6;89;NNE;22.4;1012.7;21;6.4;3.9;23.5
-40.582319;-65.000512;21/1/2022;1245;22.79;tortugometro;;24.4;10.5;17.4;19.6;89;NNE;22.4;1012.7;21;6.4;3.9;23.5
-40.582314;-65.000538;21/1/2022;1255;22.85;tortugometro;;24.4;10.5;17.4;19.6;89;NNE;22.4;1012.7;21;6.4;3.9;23.5
-40.582303;-65.000531;21/1/2022;1305;32.49;tortugometro;;24.4;10.5;17.4;18.7;84.7;N;23.2;1012.3;20.5;5.8;3.9;25.2
-40.582335;-65.000541;21/1/2022;1314;40.68;tortugometro;;24.4;10.5;17.4;18.7;84.7;N;23.2;1012.3;20.5;5.8;3.9;25.2
-40.582308;-65.000535;21/1/2022;1324;44.08;tortugometro;;24.4;10.5;17.4;18.7;84.7;N;23.2;1012.3;20.5;5.8;3.9;25.2
-40.582323;-65.000543;21/1/2022;1334;48.8;tortugometro;;24.4;10.5;17.4;18.7;84.7;N;23.2;1012.3;20.5;5.8;3.9;25.2
-40.582319;-65.000553;21/1/2022;1344;50.55;tortugometro;;24.4;10.5;17.4;18.7;84.7;N;23.2;1012.3;20.5;5.8;3.9;25.2
-40.582324;-65.000535;21/1/2022;1354;52.11;tortugometro;;24.4;10.5;17.4;18.7;84.7;N;23.2;1012.3;20.5;5.8;3.9;25.2
-40.582316;-65.000588;21/1/2022;1404;55.51;tortugometro;;24.4;10.5;17.4;17.6;79.7;N;23.9;1012;20.5;5.2;3.9;26.9
-40.582336;-65.000632;21/1/2022;1414;54.34;tortugometro;;24.4;10.5;17.4;17.6;79.7;N;23.9;1012;20.5;5.2;3.9;26.9
-40.5823;-65.000751;21/1/2022;1424;51.54;tortugometro;;24.4;10.5;17.4;17.6;79.7;N;23.9;1012;20.5;5.2;3.9;26.9
-40.582372;-65.000808;21/1/2022;1434;53.88;tortugometro;;24.4;10.5;17.4;17.6;79.7;N;23.9;1012;20.5;5.2;3.9;26.9
-40.582428;-65.000919;21/1/2022;1444;42.83;tortugometro;;24.4;10.5;17.4;17.6;79.7;N;23.9;1012;20.5;5.2;3.9;26.9
-40.58245;-65.000894;21/1/2022;1453;53.14;tortugometro;;24.4;10.5;17.4;17.6;79.7;N;23.9;1012;20.5;5.2;3.9;26.9
-40.582421;-65.001046;21/1/2022;1503;54.38;tortugometro;;24.4;10.5;17.4;16.6;75;N;24.1;1011.6;20.5;4.6;3.9;27.7
-40.582442;-65.001093;21/1/2022;1514;46.37;tortugometro;;24.4;10.5;17.4;16.6;75;N;24.1;1011.6;20.5;4.6;3.9;27.7
-40.58258;-65.001143;21/1/2022;1523;46.93;tortugometro;;24.4;10.5;17.4;16.6;75;N;24.1;1011.6;20.5;4.6;3.9;27.7
-40.582685;-65.001265;21/1/2022;1533;56.22;tortugometro;;24.4;10.5;17.4;16.6;75;N;24.1;1011.6;20.5;4.6;3.9;27.7
-40.582709;-65.001295;21/1/2022;1543;58.38;tortugometro;;24.4;10.5;17.4;16.6;75;N;24.1;1011.6;20.5;4.6;3.9;27.7
-40.582715;-65.001289;21/1/2022;1553;50.95;tortugometro;;24.4;10.5;17.4;16.6;75;N;24.1;1011.6;20.5;4.6;3.9;27.7
-40.58271;-65.001302;21/1/2022;1712;37.13;tortugometro;;24.4;10.5;17.4;14.4;66.3;NW;20.7;1011.2;20.5;3.5;3.9;28.5
-40.582705;-65.00129;21/1/2022;1722;50.51;tortugometro;;24.4;10.5;17.4;14.4;66.3;NW;20.7;1011.2;20.5;3.5;3.9;28.5
-40.582728;-65.001279;21/1/2022;1742;40.71;tortugometro;;24.4;10.5;17.4;14.4;66.3;NW;20.7;1011.2;20.5;3.5;3.9;28.5
-40.582728;-65.00129;21/1/2022;1802;37.68;tortugometro;;24.4;10.5;17.4;13.3;61.6;NW;20.4;1011;20;2.9;3.7;29.2
-40.582735;-65.001274;21/1/2022;1812;37.29;tortugometro;;24.4;10.5;17.4;13.3;61.6;NW;20.4;1011;20;2.9;3.7;29.2
-40.582735;-65.001286;21/1/2022;1821;35.58;tortugometro;;24.4;10.5;17.4;13.3;61.6;NW;20.4;1011;20;2.9;3.7;29.2
-40.582731;-65.001273;21/1/2022;1831;34.53;tortugometro;;24.4;10.5;17.4;13.3;61.6;NW;20.4;1011;20;2.9;3.7;29.2
-40.582741;-65.001286;21/1/2022;1841;34.65;tortugometro;;24.4;10.5;17.4;13.3;61.6;NW;20.4;1011;20;2.9;3.7;29.2
-40.582743;-65.001284;21/1/2022;1851;34.84;tortugometro;;24.4;10.5;17.4;13.3;61.6;NW;20.4;1011;20;2.9;3.7;29.2
-40.58272;-65.001293;21/1/2022;1901;34.67;tortugometro;;24.4;10.5;17.4;12.1;57.7;WNW;19.8;1010.9;20;2.3;3.4;29.2
-40.582737;-65.001291;21/1/2022;1911;34.11;tortugometro;;24.4;10.5;17.4;12.1;57.7;WNW;19.8;1010.9;20;2.3;3.4;29.2
-40.582742;-65.001291;21/1/2022;1921;34.01;tortugometro;;24.4;10.5;17.4;12.1;57.7;WNW;19.8;1010.9;20;2.3;3.4;29.2
-40.582739;-65.001282;21/1/2022;1930;33.16;tortugometro;;24.4;10.5;17.4;12.1;57.7;WNW;19.8;1010.9;20;2.3;3.4;29.2
-40.582717;-65.001278;21/1/2022;1941;33.16;tortugometro;;24.4;10.5;17.4;12.1;57.7;WNW;19.8;1010.9;20;2.3;3.4;29.2
-40.582734;-65.001288;21/1/2022;1950;32.51;tortugometro;;24.4;10.5;17.4;12.1;57.7;WNW;19.8;1010.9;20;2.3;3.4;29.2
-40.582719;-65.001312;21/1/2022;2000;31.83;tortugometro;;27;10.5;17.4;10.9;52.4;W;18.2;1010.7;20;1.7;3;"30.0 	"
-40.582734;-65.001308;21/1/2022;2010;31.46;tortugometro;;27;10.5;17.4;10.9;52.4;W;18.2;1010.7;20;1.7;3;30
-40.582723;-65.001303;21/1/2022;2020;30.87;tortugometro;;27;10.5;17.4;10.9;52.4;W;18.2;1010.7;20;1.7;3;30
-40.582714;-65.001314;21/1/2022;2030;30.46;tortugometro;;27;10.5;17.4;10.9;52.4;W;18.2;1010.7;20;1.7;3;30
-40.582709;-65.001323;21/1/2022;2040;30.1;tortugometro;;27;10.5;17.4;10.9;52.4;W;18.2;1010.7;20;1.7;3;30
-40.582716;-65.001313;21/1/2022;2050;29.74;tortugometro;;27;10.5;17.4;10.9;52.4;W;18.2;1010.7;20;1.7;3;30
-40.582711;-65.001304;21/1/2022;2059;29.45;tortugometro;;27;10.5;17.4;10.9;52.4;W;18.2;1010.7;20;1.7;3;30
-40.582698;-65.001257;21/1/2022;2109;29.13;tortugometro;;28;10.5;17.4;9.7;47.2;W;19;1010.6;20;1.2;2.7;30
-40.583528;-65.000272;21/1/2022;2119;28.86;tortugometro;;28;10.5;17.4;9.7;47.2;W;19;1010.6;20;1.2;2.7;30
-40.582715;-65.001288;22/1/2022;1330;32.78;tortugometro;;28.2;11.2;19.7;6.6;32.5;WNW;18;1009.8;0;0.7;3;30
-40.582728;-65.001274;22/1/2022;1340;31.31;tortugometro;;28.2;11.2;19.7;6.6;32.5;WNW;18;1009.8;0;0.7;3;30
-40.582725;-65.001293;22/1/2022;1350;29.48;tortugometro;;28.2;11.2;19.7;6.6;32.5;WNW;18;1009.8;0;0.7;3;30
-40.582729;-65.001279;22/1/2022;1400;26.84;tortugometro;;28.2;11.2;19.7;7.4;34.8;NNW;18.1;1009.6;0;1.2;4;30
-40.582731;-65.001272;22/1/2022;1410;25.97;tortugometro;;28.2;11.2;19.7;7.4;34.8;NNW;18.1;1009.6;0;1.2;4;30
-40.582727;-65.001277;22/1/2022;1419;25.72;tortugometro;;28.2;11.2;19.7;7.4;34.8;NNW;18.1;1009.6;0;1.2;4;30
-40.582729;-65.00127;22/1/2022;1429;24.17;tortugometro;;28.2;11.2;19.7;7.4;34.8;NNW;18.1;1009.6;0;1.2;4;30
-40.582706;-65.00125;22/1/2022;1440;21.81;tortugometro;;28.2;11.2;19.7;7.4;34.8;NNW;18.1;1009.6;0;1.2;4;30
-40.582739;-65.001287;22/1/2022;1449;21.44;tortugometro;;28.2;11.2;19.7;7.4;34.8;NNW;18.1;1009.6;0;1.2;4;30
-40.582723;-65.001289;22/1/2022;1501;22.46;tortugometro;;28.2;11.2;19.7;8.2;39.3;NNW;19.4;1009.5;0;1.8;4.5;"30.0 	"
-40.582722;-65.001288;22/1/2022;1509;23.43;tortugometro;;28.2;11.2;19.7;8.2;39.3;NNW;19.4;1009.5;0;1.8;4.5;30
-40.58273;-65.001261;22/1/2022;1519;25.22;tortugometro;;28.2;11.2;19.7;8.2;39.3;NNW;19.4;1009.5;0;1.8;4.5;30
-40.582742;-65.001295;22/1/2022;1529;26.16;tortugometro;;28.2;11.2;19.7;8.2;39.3;NNW;19.4;1009.5;0;1.8;4.5;30
-40.582738;-65.00126;22/1/2022;1539;26.61;tortugometro;;28.2;11.2;19.7;8.2;39.3;NNW;19.4;1009.5;0;1.8;4.5;30
-40.58271;-65.001298;22/1/2022;1548;26.27;tortugometro;;28.2;11.2;19.7;8.2;39.3;NNW;19.4;1009.5;0;1.8;4.5;30
-40.582724;-65.001294;22/1/2022;1558;28.65;tortugometro;;28.2;11.2;19.7;8.2;39.3;NNW;19.4;1009.5;0;1.8;4.5;30
-40.582736;-65.001268;22/1/2022;1608;32.1;tortugometro;;28.2;11.2;19.7;9.3;43.9;N;19.5;1009.3;0;2.3;5;30
-40.582751;-65.001298;22/1/2022;1618;47.09;tortugometro;;28.2;11.2;19.7;9.3;43.9;N;19.5;1009.3;0;2.3;5;30
-40.582753;-65.001292;22/1/2022;1628;53.37;tortugometro;;28.2;11.2;19.7;9.3;43.9;N;19.5;1009.3;0;2.3;5;30
-40.582757;-65.001262;22/1/2022;1638;56.24;tortugometro;;28.2;11.2;19.7;9.3;43.9;N;19.5;1009.3;0;2.3;5;30
-40.582789;-65.001209;22/1/2022;1648;54.86;tortugometro;;28.2;11.2;19.7;9.3;43.9;N;19.5;1009.3;0;2.3;5;30
-40.582881;-65.00119;22/1/2022;1657;52.36;tortugometro;;28.2;11.2;19.7;9.3;43.9;N;19.5;1009.3;0;2.3;5;30
-40.582977;-65.001076;22/1/2022;1707;52;tortugometro;;28.2;11.2;19.7;10.3;47.5;N;19;1009.1;0;2.8;5.3;30
-40.58302;-65.001066;22/1/2022;1717;53.07;tortugometro;;28.2;11.2;19.7;10.3;47.5;N;19;1009.1;0;2.8;5.3;30
-40.583013;-65.001035;22/1/2022;1727;47.42;tortugometro;;28.2;11.2;19.7;10.3;47.5;N;19;1009.1;0;2.8;5.3;30
-40.583011;-65.001066;22/1/2022;1737;38.51;tortugometro;;28.2;11.2;19.7;10.3;47.5;N;19;1009.1;0;2.8;5.3;30
-40.583011;-65.001052;22/1/2022;1748;35.77;tortugometro;;28.2;11.2;19.7;10.3;47.5;N;19;1009.1;0;2.8;5.3;30
-40.583013;-65.001061;22/1/2022;1757;34.64;tortugometro;;28.2;11.2;19.7;10.3;47.5;N;19;1009.1;0;2.8;5.3;30
-40.58301;-65.00105;22/1/2022;1807;34.44;tortugometro;;28.4;11.2;19.7;10.9;48.2;N;19.8;1008.7;7;3.2;5.1;30
-40.582999;-65.001056;22/1/2022;1817;34.44;tortugometro;;28.4;11.2;19.7;10.9;48.2;N;19.8;1008.7;7;3.2;5.1;30
-40.583033;-65.00112;22/1/2022;1827;34.37;tortugometro;;28.4;11.2;19.7;10.9;48.2;N;19.8;1008.7;7;3.2;5.1;30
-40.583059;-65.001163;22/1/2022;1836;41.82;tortugometro;;28.4;11.2;19.7;10.9;48.2;N;19.8;1008.7;7;3.2;5.1;30
-40.583057;-65.001159;22/1/2022;1846;38.09;tortugometro;;28.4;11.2;19.7;10.9;48.2;N;19.8;1008.7;7;3.2;5.1;30
-40.583064;-65.001168;22/1/2022;1856;36;tortugometro;;28.4;11.2;19.7;10.9;48.2;N;19.8;1008.7;7;3.2;5.1;30
-40.583057;-65.001169;22/1/2022;1906;34.62;tortugometro;;29.2;11.2;19.7;11.4;48.5;N;20.8;1008.3;7;3.5;5.1;"30.0 	"
-40.583054;-65.001169;22/1/2022;1916;33.99;tortugometro;;29.2;11.2;19.7;11.4;48.5;N;20.8;1008.3;7;3.5;5.1;30
-40.583061;-65.001152;22/1/2022;1926;33.71;tortugometro;;29.2;11.2;19.7;11.4;48.5;N;20.8;1008.3;7;3.5;5.1;30
-40.583073;-65.001183;22/1/2022;1936;33.65;tortugometro;;29.2;11.2;19.7;11.4;48.5;N;20.8;1008.3;7;3.5;5.1;30
-40.58306;-65.001155;22/1/2022;1946;33.35;tortugometro;;29.2;11.2;19.7;11.4;48.5;N;20.8;1008.3;7;3.5;5.1;30
-40.583069;-65.001149;22/1/2022;1956;33.16;tortugometro;;29.2;11.2;19.7;11.4;48.5;N;20.8;1008.3;7;3.5;5.1;30
-40.583036;-65.001226;22/1/2022;2006;33.17;tortugometro;;30.5;11.2;19.7;11.5;48.3;N;22.2;1007.9;7;3.9;5.1;"30.0 	"
-40.583055;-65.001146;22/1/2022;2015;32.99;tortugometro;;30.5;11.2;19.7;11.5;48.3;N;22.2;1007.9;7;3.9;5.1;30
-40.583056;-65.001146;22/1/2022;2025;32.88;tortugometro;;30.5;11.2;19.7;11.5;48.3;N;22.2;1007.9;7;3.9;5.1;30
-40.583066;-65.001147;22/1/2022;2035;32.64;tortugometro;;30.5;11.2;19.7;11.5;48.3;N;22.2;1007.9;7;3.9;5.1;30
-40.583065;-65.001103;22/1/2022;2045;32.14;tortugometro;;30.5;11.2;19.7;11.5;48.3;N;22.2;1007.9;7;3.9;5.1;30
-40.583067;-65.001177;22/1/2022;2055;32.36;tortugometro;;30.5;11.2;19.7;11.5;48.3;N;22.2;1007.9;7;3.9;5.1;30
-40.583065;-65.001115;22/1/2022;2105;32.3;tortugometro;;31.8;11.2;19.7;11;47.3;NNW;23.4;1007.5;7;4.3;5.1;"30.0 	"
-40.583052;-65.001155;22/1/2022;2115;31.46;tortugometro;;31.8;11.2;19.7;11;47.3;NNW;23.4;1007.5;7;4.3;5.1;30
-40.583052;-65.001162;22/1/2022;2125;30.74;tortugometro;;31.8;11.2;19.7;11;47.3;NNW;23.4;1007.5;7;4.3;5.1;30
-40.583058;-65.001133;22/1/2022;2134;30.18;tortugometro;;31.8;11.2;19.7;11;47.3;NNW;23.4;1007.5;7;4.3;5.1;30
-40.583056;-65.001148;22/1/2022;2144;29.63;tortugometro;;31.8;11.2;19.7;11;47.3;NNW;23.4;1007.5;7;4.3;5.1;30
-40.583051;-65.001144;22/1/2022;2154;29.25;tortugometro;;31.8;11.2;19.7;11;47.3;NNW;23.4;1007.5;7;4.3;5.1;30
-40.584773;-65.002871;22/1/2022;2204;28.97;tortugometro;;31.8;11.2;18.1;11;47.2;NNW;25.4;1007.1;7;4.7;4.9;"30.0 	"
-40.583042;-65.001169;23/1/2022;1140;27.54;tortugometro;;32;17.4;24.7;11.2;47.2;NW;29.2;1006.4;*;5.5;4.6;30
-40.583027;-65.001176;23/1/2022;1150;27.22;tortugometro;;32;17.4;24.7;11.2;47.2;NW;29.2;1006.4;*;5.5;4.6;30
-40.583035;-65.001189;23/1/2022;1200;31.42;tortugometro;;32;12.8;22.4;10.4;45.7;NW;29.5;1006.6;7;5.2;4.4;"30.0 	"
-40.583065;-65.001164;23/1/2022;1210;35.38;tortugometro;;32;12.8;22.4;10.4;45.7;NW;29.5;1006.6;7;5.2;4.4;30
-40.583048;-65.001172;23/1/2022;1220;37.51;tortugometro;;32;12.8;22.4;10.4;45.7;NW;29.5;1006.6;7;5.2;4.4;30
-40.583045;-65.001174;23/1/2022;1230;39.34;tortugometro;;32;12.8;22.4;10.4;45.7;NW;29.5;1006.6;7;5.2;4.4;30
-40.583052;-65.001171;23/1/2022;1239;40.54;tortugometro;;32;12.8;22.4;10.4;45.7;NW;29.5;1006.6;7;5.2;4.4;30
-40.583067;-65.001178;23/1/2022;1249;41.33;tortugometro;;32;12.8;22.4;10.4;45.7;NW;29.5;1006.6;7;5.2;4.4;30
-40.583056;-65.001172;23/1/2022;1259;41.75;tortugometro;;32;12.8;22.4;10.4;45.7;NW;29.5;1006.6;7;5.2;4.4;30
-40.583114;-65.001121;23/1/2022;1309;41.67;tortugometro;;32;12.8;22.4;9.6;43.9;NW;30.2;1006.8;7;5;4.2;"30.0 	"
-40.58323;-65.001258;23/1/2022;1319;43.36;tortugometro;;32;12.8;22.4;9.6;43.9;NW;30.2;1006.8;7;5;4.2;30
-40.583337;-65.001359;23/1/2022;1329;42.71;tortugometro;;32;12.8;22.4;9.6;43.9;NW;30.2;1006.8;7;5;4.2;30
-40.583411;-65.001378;23/1/2022;1339;43.54;tortugometro;;32;12.8;22.4;9.6;43.9;NW;30.2;1006.8;7;5;4.2;30
-40.583577;-65.001474;23/1/2022;1349;44.67;tortugometro;;32;12.8;22.4;9.6;43.9;NW;30.2;1006.8;7;5;4.2;30
-40.583711;-65.001542;23/1/2022;1358;43.48;tortugometro;;32;12.8;22.4;9.6;43.9;NW;30.2;1006.8;7;5;4.2;30
-40.583734;-65.001489;23/1/2022;1408;45.75;tortugometro;;32;12.8;22.4;8.7;41.2;WNW;31.4;1007;7;4.6;3.8;30
