lat;lon;date;timeGMT;tempIMU;metodologia;sexo;tempmax(C);tempmin(C);tempmed(C);TemprocÃ­omediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km)
-40.583573;-64.998357;10/1/2021;1406;41.08;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.583594;-64.998439;10/1/2021;1411;45.29;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.583492;-64.998531;10/1/2021;1416;46.26;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.583415;-64.998496;10/1/2021;1421;48.37;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.583337;-64.998604;10/1/2021;1426;47.95;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.583382;-64.998667;10/1/2021;1431;45.77;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.583371;-64.998751;10/1/2021;1437;38.65;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.583375;-64.998691;10/1/2021;1442;36.76;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.583372;-64.998714;10/1/2021;1446;35.73;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.583377;-64.998728;10/1/2021;1451;35.05;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.583346;-64.998828;10/1/2021;1457;34.47;tortugómetro;hembra;35;16.1;25.6;-0.2;14.8;NW;29.9;1003.5;0;3.2;0;30
-40.583352;-64.998796;10/1/2021;1502;33.81;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.583349;-64.998817;10/1/2021;1507;33.27;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.583376;-64.998766;10/1/2021;1512;33.6;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.583404;-64.998744;10/1/2021;1517;33.37;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.583382;-64.998727;10/1/2021;1522;33.73;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.583363;-64.998671;10/1/2021;1527;34.51;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.583352;-64.998805;10/1/2021;1532;35.22;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.583355;-64.998735;10/1/2021;1537;34.48;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.58336;-64.998745;10/1/2021;1542;34.29;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.58338;-64.998764;10/1/2021;1547;33.52;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.583355;-64.998752;10/1/2021;1552;32.98;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.583366;-64.998724;10/1/2021;1557;32.78;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.1;1003.5;0;3.5;0;30
-40.583311;-64.998742;10/1/2021;1602;32.82;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.8;1003.5;0;3.6;0;30
-40.583342;-64.998772;10/1/2021;1607;33.13;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.8;1003.5;0;3.6;0;30
-40.583381;-64.998787;10/1/2021;1612;33.23;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.8;1003.5;0;3.6;0;30
-40.583375;-64.998728;10/1/2021;1617;33.28;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.8;1003.5;0;3.6;0;30
-40.583414;-64.998778;10/1/2021;1622;33.45;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.8;1003.5;0;3.6;0;30
-40.58341;-64.998783;10/1/2021;1627;33.57;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.8;1003.5;0;3.6;0;30
-40.583327;-64.9986;10/1/2021;1632;34.17;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.8;1003.5;0;3.6;0;30
-40.583324;-64.998702;10/1/2021;1637;34.26;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.8;1003.5;0;3.6;0;30
-40.583374;-64.998745;10/1/2021;1642;34.03;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.8;1003.5;0;3.6;0;30
-40.583369;-64.998777;10/1/2021;1647;34.29;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.8;1003.5;0;3.6;0;30
-40.58346;-64.998805;10/1/2021;1652;34.27;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.8;1003.5;0;3.6;0;30
-40.583288;-64.9986;10/1/2021;1657;34.38;tortugómetro;hembra;35;16.1;25.6;-0.2;14.9;NW;32.8;1003.5;0;3.6;0;30
-40.583364;-64.998724;10/1/2021;1702;34.57;tortugómetro;hembra;35;16.1;25.6;-0.5;14.9;NW;33.5;1003.5;0;3.7;0.1;30
-40.583343;-64.998704;10/1/2021;1707;34.36;tortugómetro;hembra;35;16.1;25.6;-0.5;14.9;NW;33.5;1003.5;0;3.7;0.1;30
-40.583313;-64.998619;10/1/2021;1712;34.67;tortugómetro;hembra;35;16.1;25.6;-0.5;14.9;NW;33.5;1003.5;0;3.7;0.1;30
-40.583439;-64.998813;10/1/2021;1717;34.59;tortugómetro;hembra;35;16.1;25.6;-0.5;14.9;NW;33.5;1003.5;0;3.7;0.1;30
-40.58335;-64.998741;10/1/2021;1722;34.57;tortugómetro;hembra;35;16.1;25.6;-0.5;14.9;NW;33.5;1003.5;0;3.7;0.1;30
-40.583334;-64.998632;10/1/2021;1727;34.35;tortugómetro;hembra;35;16.1;25.6;-0.5;14.9;NW;33.5;1003.5;0;3.7;0.1;30
-40.583427;-64.998591;10/1/2021;1732;34.46;tortugómetro;hembra;35;16.1;25.6;-0.5;14.9;NW;33.5;1003.5;0;3.7;0.1;30
-40.583343;-64.998774;10/1/2021;1737;34.44;tortugómetro;hembra;35;16.1;25.6;-0.5;14.9;NW;33.5;1003.5;0;3.7;0.1;30
-40.583361;-64.998728;10/1/2021;1742;34.57;tortugómetro;hembra;35;16.1;25.6;-0.5;14.9;NW;33.5;1003.5;0;3.7;0.1;30
-40.583339;-64.998653;10/1/2021;1747;34.84;tortugómetro;hembra;35;16.1;25.6;-0.5;14.9;NW;33.5;1003.5;0;3.7;0.1;30
-40.583317;-64.9986;10/1/2021;1752;35.02;tortugómetro;hembra;35;16.1;25.6;-0.5;14.9;NW;33.5;1003.5;0;3.7;0.1;30
-40.583334;-64.998722;10/1/2021;1757;35.18;tortugómetro;hembra;35;16.1;25.6;-0.5;14.9;NW;33.5;1003.5;0;3.7;0.1;30
-40.583392;-64.998749;10/1/2021;1803;35.44;tortugómetro;hembra;35;16.1;25.6;-0.8;14.6;NW;33.9;1003.5;0;3.8;0.2;30
-40.583368;-64.9988;10/1/2021;1807;35.42;tortugómetro;hembra;35;16.1;25.6;-0.8;14.6;NW;33.9;1003.5;0;3.8;0.2;30
-40.583611;-64.998758;10/1/2021;1812;35.54;tortugómetro;hembra;35;16.1;25.6;-0.8;14.6;NW;33.9;1003.5;0;3.8;0.2;30
-40.583376;-64.998732;10/1/2021;1818;34.9;tortugómetro;hembra;35;16.1;25.6;-0.8;14.6;NW;33.9;1003.5;0;3.8;0.2;30
-40.583354;-64.998746;10/1/2021;1822;35.23;tortugómetro;hembra;35;16.1;25.6;-0.8;14.6;NW;33.9;1003.5;0;3.8;0.2;30
-40.58336;-64.998734;10/1/2021;1827;35.36;tortugómetro;hembra;35;16.1;25.6;-0.8;14.6;NW;33.9;1003.5;0;3.8;0.2;30
-40.583363;-64.998735;10/1/2021;1832;37.14;tortugómetro;hembra;35;16.1;25.6;-0.8;14.6;NW;33.9;1003.5;0;3.8;0.2;30
-40.583348;-64.9987;10/1/2021;1837;38.27;tortugómetro;hembra;35;16.1;25.6;-0.8;14.6;NW;33.9;1003.5;0;3.8;0.2;30
-40.583345;-64.998949;10/1/2021;1842;42.35;tortugómetro;hembra;35;16.1;25.6;-0.8;14.6;NW;33.9;1003.5;0;3.8;0.2;30
-40.583216;-64.998967;10/1/2021;1847;48.27;tortugómetro;hembra;35;16.1;25.6;-0.8;14.6;NW;33.9;1003.5;0;3.8;0.2;30
-40.588327;-64.994283;10/1/2021;1852;49.27;tortugómetro;hembra;35;16.1;25.6;-0.8;14.6;NW;33.9;1003.5;0;3.8;0.2;30
-40.583062;-64.999039;10/1/2021;1858;42.56;tortugómetro;hembra;35;16.1;25.6;-0.8;14.6;NW;33.9;1003.5;0;3.8;0.2;30
-40.583074;-64.999003;10/1/2021;1902;40.11;tortugómetro;hembra;35;16.1;25.6;-0.9;14.5;WNW;34.4;1003.5;0;3.8;0.4;30
-40.581605;-65.000186;10/1/2021;1908;39.86;tortugómetro;hembra;35;16.1;25.6;-0.9;14.5;WNW;34.4;1003.5;0;3.8;0.4;30
-40.583046;-64.999128;10/1/2021;1913;40.64;tortugómetro;hembra;35;16.1;25.6;-0.9;14.5;WNW;34.4;1003.5;0;3.8;0.4;30
-40.583091;-64.999087;10/1/2021;1918;38.66;tortugómetro;hembra;35;16.1;25.6;-0.9;14.5;WNW;34.4;1003.5;0;3.8;0.4;30
-40.57746;-65.004741;10/1/2021;1923;37.5;tortugómetro;hembra;35;16.1;25.6;-0.9;14.5;WNW;34.4;1003.5;0;3.8;0.4;30
-40.576437;-64.981571;10/1/2021;1928;36.59;tortugómetro;hembra;35;16.1;25.6;-0.9;14.5;WNW;34.4;1003.5;0;3.8;0.4;30
-40.574595;-65.00782;10/1/2021;1933;36.83;tortugómetro;hembra;35;16.1;25.6;-0.9;14.5;WNW;34.4;1003.5;0;3.8;0.4;30
-40.590385;-65.000809;10/1/2021;1938;36.45;tortugómetro;hembra;35;16.1;25.6;-0.9;14.5;WNW;34.4;1003.5;0;3.8;0.4;30
-40.588513;-65.001147;10/1/2021;1943;36.09;tortugómetro;hembra;35;16.1;25.6;-0.9;14.5;WNW;34.4;1003.5;0;3.8;0.4;30
-40.587515;-65.001434;10/1/2021;1948;36.04;tortugómetro;hembra;35;16.1;25.6;-0.9;14.5;WNW;34.4;1003.5;0;3.8;0.4;30
-40.58691;-65.001693;10/1/2021;1953;35.39;tortugómetro;hembra;35;16.1;25.6;-0.9;14.5;WNW;34.4;1003.5;0;3.8;0.4;30
-40.586518;-65.001953;10/1/2021;1958;35.76;tortugómetro;hembra;35;16.1;25.6;-0.9;14.5;WNW;34.4;1003.5;0;3.8;0.4;30
-40.58634;-65.002285;10/1/2021;2003;35.87;tortugómetro;hembra;35;16.1;25.6;-0.9;14.6;WNW;35.4;1003.5;0;3.9;0.5;30
-40.583054;-64.999138;10/1/2021;2008;35.96;tortugómetro;hembra;35;16.1;25.6;-0.9;14.6;WNW;35.4;1003.5;0;3.9;0.5;30
-40.583045;-64.999155;10/1/2021;2013;36.17;tortugómetro;hembra;35;16.1;25.6;-0.9;14.6;WNW;35.4;1003.5;0;3.9;0.5;30
-40.582961;-64.998956;10/1/2021;2018;36.13;tortugómetro;hembra;35;16.1;25.6;-0.9;14.6;WNW;35.4;1003.5;0;3.9;0.5;30
-40.583067;-64.999144;10/1/2021;2023;35.64;tortugómetro;hembra;35;16.1;25.6;-0.9;14.6;WNW;35.4;1003.5;0;3.9;0.5;30
-40.583189;-64.999122;10/1/2021;2028;35.14;tortugómetro;hembra;35;16.1;25.6;-0.9;14.6;WNW;35.4;1003.5;0;3.9;0.5;30
-40.583113;-64.999243;10/1/2021;2033;36.53;tortugómetro;hembra;35;16.1;25.6;-0.9;14.6;WNW;35.4;1003.5;0;3.9;0.5;30
-40.583037;-64.999286;10/1/2021;2038;38.85;tortugómetro;hembra;35;16.1;25.6;-0.9;14.6;WNW;35.4;1003.5;0;3.9;0.5;30
-40.582988;-64.999202;10/1/2021;2043;37.08;tortugómetro;hembra;35;16.1;25.6;-0.9;14.6;WNW;35.4;1003.5;0;3.9;0.5;30
-40.583103;-64.999381;10/1/2021;2048;36.27;tortugómetro;hembra;35;16.1;25.6;-0.9;14.6;WNW;35.4;1003.5;0;3.9;0.5;30
-40.583248;-64.999725;10/1/2021;2053;36.86;tortugómetro;hembra;35;16.1;25.6;-0.9;14.6;WNW;35.4;1003.5;0;3.9;0.5;30
-40.583028;-64.999266;10/1/2021;2058;36.53;tortugómetro;hembra;35;16.1;25.6;-0.9;14.6;WNW;35.4;1003.5;0;3.9;0.5;30
-40.583049;-64.999299;10/1/2021;2103;38.75;tortugómetro;hembra;35;16.1;25.6;-0.8;14.8;WNW;36.2;1003.5;0;4;0.7;30
-40.583085;-64.999294;10/1/2021;2108;39.38;tortugómetro;hembra;35;16.1;25.6;-0.8;14.8;WNW;36.2;1003.5;0;4;0.7;30
-40.583034;-64.999308;10/1/2021;2113;36.81;tortugómetro;hembra;35;16.1;25.6;-0.8;14.8;WNW;36.2;1003.5;0;4;0.7;30
-40.58296;-64.999326;10/1/2021;2118;39.23;tortugómetro;hembra;35;16.1;25.6;-0.8;14.8;WNW;36.2;1003.5;0;4;0.7;30
-40.582944;-64.999265;10/1/2021;2123;38.19;tortugómetro;hembra;35;16.1;25.6;-0.8;14.8;WNW;36.2;1003.5;0;4;0.7;30
-40.583029;-64.999385;10/1/2021;2128;38.25;tortugómetro;hembra;35;16.1;25.6;-0.8;14.8;WNW;36.2;1003.5;0;4;0.7;30
-40.582984;-64.999454;10/1/2021;2133;38.64;tortugómetro;hembra;35;16.1;25.6;-0.8;14.8;WNW;36.2;1003.5;0;4;0.7;30
-40.582985;-64.999462;10/1/2021;2138;39.46;tortugómetro;hembra;35;16.1;25.6;-0.8;14.8;WNW;36.2;1003.5;0;4;0.7;30
-40.582954;-64.999421;10/1/2021;2143;38.98;tortugómetro;hembra;35;16.1;25.6;-0.8;14.8;WNW;36.2;1003.5;0;4;0.7;30
-40.582888;-64.999412;10/1/2021;2148;37.12;tortugómetro;hembra;35;16.1;25.6;-0.8;14.8;WNW;36.2;1003.5;0;4;0.7;30
-40.582915;-64.999408;10/1/2021;2153;37.09;tortugómetro;hembra;35;16.1;25.6;-0.8;14.8;WNW;36.2;1003.5;0;4;0.7;30
-40.582836;-64.999422;10/1/2021;2158;37.98;tortugómetro;hembra;35;16.1;25.6;-0.8;14.8;WNW;36.2;1003.5;0;4;0.7;30
-40.582904;-64.999563;10/1/2021;2203;37.26;tortugómetro;hembra;33.3;16.1;23.5;-0.5;15.3;WNW;36.8;1003.5;0;4;0.8;30
-40.582857;-64.999773;10/1/2021;2208;36.77;tortugómetro;hembra;33.3;16.1;23.5;-0.5;15.3;WNW;36.8;1003.5;0;4;0.8;30
-40.582915;-64.999909;10/1/2021;2213;35.74;tortugómetro;hembra;33.3;16.1;23.5;-0.5;15.3;WNW;36.8;1003.5;0;4;0.8;30
-40.582899;-65.000153;10/1/2021;2218;35.18;tortugómetro;hembra;33.3;16.1;23.5;-0.5;15.3;WNW;36.8;1003.5;0;4;0.8;30
-40.582962;-65.000218;10/1/2021;2223;34.61;tortugómetro;hembra;33.3;16.1;23.5;-0.5;15.3;WNW;36.8;1003.5;0;4;0.8;30
-40.582774;-65.000602;10/1/2021;2228;33.88;tortugómetro;hembra;33.3;16.1;23.5;-0.5;15.3;WNW;36.8;1003.5;0;4;0.8;30
-40.58278;-65.000411;10/1/2021;2234;34.08;tortugómetro;hembra;33.3;16.1;23.5;-0.5;15.3;WNW;36.8;1003.5;0;4;0.8;30
-40.582751;-65.000391;10/1/2021;2238;33.6;tortugómetro;hembra;33.3;16.1;23.5;-0.5;15.3;WNW;36.8;1003.5;0;4;0.8;30
-40.582656;-65.000575;10/1/2021;2243;32.81;tortugómetro;hembra;33.3;16.1;23.5;-0.5;15.3;WNW;36.8;1003.5;0;4;0.8;30
-40.582672;-65.000565;10/1/2021;2248;32.94;tortugómetro;hembra;33.3;16.1;23.5;-0.5;15.3;WNW;36.8;1003.5;0;4;0.8;30
-40.582662;-65.000552;10/1/2021;2253;32.93;tortugómetro;hembra;33.3;16.1;23.5;-0.5;15.3;WNW;36.8;1003.5;0;4;0.8;30
-40.582671;-65.000592;10/1/2021;2258;32.73;tortugómetro;hembra;33.3;16.1;23.5;-0.5;15.3;WNW;36.8;1003.5;0;4;0.8;30
-40.58263;-65.000556;10/1/2021;2303;32.4;tortugómetro;hembra;32.3;16.1;23.5;0.1;16.1;WNW;37.5;1003.5;0;4;1;30
-40.582662;-65.000611;10/1/2021;2308;32.03;tortugómetro;hembra;32.3;16.1;23.5;0.1;16.1;WNW;37.5;1003.5;0;4;1;30
-40.582563;-65.000571;10/1/2021;2313;31.82;tortugómetro;hembra;32.3;16.1;23.5;0.1;16.1;WNW;37.5;1003.5;0;4;1;30
-40.582616;-65.000576;10/1/2021;2318;31.58;tortugómetro;hembra;32.3;16.1;23.5;0.1;16.1;WNW;37.5;1003.5;0;4;1;30
-40.582642;-65.000575;10/1/2021;2323;31.35;tortugómetro;hembra;32.3;16.1;23.5;0.1;16.1;WNW;37.5;1003.5;0;4;1;30
-40.582574;-65.00049;10/1/2021;2328;31.13;tortugómetro;hembra;32.3;16.1;23.5;0.1;16.1;WNW;37.5;1003.5;0;4;1;30
-40.582642;-65.000501;10/1/2021;2334;30.88;tortugómetro;hembra;32.3;16.1;23.5;0.1;16.1;WNW;37.5;1003.5;0;4;1;30
-40.582633;-65.00057;10/1/2021;2339;30.64;tortugómetro;hembra;32.3;16.1;23.5;0.1;16.1;WNW;37.5;1003.5;0;4;1;30
-40.582689;-65.000571;10/1/2021;2344;30.46;tortugómetro;hembra;32.3;16.1;23.5;0.1;16.1;WNW;37.5;1003.5;0;4;1;30
-40.58267;-65.000614;10/1/2021;2349;30.27;tortugómetro;hembra;32.3;16.1;23.5;0.1;16.1;WNW;37.5;1003.5;0;4;1;30
-40.582603;-65.000562;10/1/2021;2354;30.15;tortugómetro;hembra;32.3;16.1;23.5;0.1;16.1;WNW;37.5;1003.5;0;4;1;30
-40.582673;-65.000586;10/1/2021;2359;30.11;tortugómetro;hembra;32.3;16.1;23.5;0.1;16.1;WNW;37.5;1003.5;0;4;1;30
-40.582571;-65.000555;11/1/2021;4;30.07;tortugómetro;hembra;33;16.1;24.6;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.58265;-65.000585;11/1/2021;9;30.04;tortugómetro;hembra;33;16.1;24.6;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582714;-65.000631;11/1/2021;14;30.05;tortugómetro;hembra;33;16.1;24.6;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582674;-65.000561;11/1/2021;19;29.68;tortugómetro;hembra;33;16.1;24.6;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582674;-65.000462;11/1/2021;24;29.3;tortugómetro;hembra;33;16.1;24.6;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582617;-65.000776;11/1/2021;29;29.1;tortugómetro;hembra;33;16.1;24.6;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582672;-65.000625;11/1/2021;34;28.96;tortugómetro;hembra;33;16.1;24.6;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.58264;-65.000607;11/1/2021;39;28.8;tortugómetro;hembra;33;16.1;24.6;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.58266;-65.0006;11/1/2021;44;28.64;tortugómetro;hembra;33;16.1;24.6;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582646;-65.000511;11/1/2021;49;28.5;tortugómetro;hembra;33;16.1;24.6;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582638;-65.000545;11/1/2021;54;28.45;tortugómetro;hembra;33;16.1;24.6;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582584;-65.000465;11/1/2021;59;28.28;tortugómetro;hembra;33;16.1;24.6;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582581;-65.000636;11/1/2021;104;28.07;tortugómetro;hembra;33;16.1;25.4;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582659;-65.00062;11/1/2021;109;27.93;tortugómetro;hembra;33;16.1;25.4;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582629;-65.000535;11/1/2021;114;27.81;tortugómetro;hembra;33;16.1;25.4;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.58262;-65.000587;11/1/2021;119;27.71;tortugómetro;hembra;33;16.1;25.4;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582617;-65.00063;11/1/2021;124;27.59;tortugómetro;hembra;33;16.1;25.4;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.58263;-65.000672;11/1/2021;129;27.49;tortugómetro;hembra;33;16.1;25.4;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582651;-65.000569;11/1/2021;134;27.39;tortugómetro;hembra;33;16.1;25.4;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582658;-65.000599;11/1/2021;139;27.27;tortugómetro;hembra;33;16.1;25.4;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582675;-65.000561;11/1/2021;144;27.17;tortugómetro;hembra;33;16.1;25.4;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582651;-65.000593;11/1/2021;150;27.06;tortugómetro;hembra;33;16.1;25.4;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582648;-65.000599;11/1/2021;154;27.16;tortugómetro;hembra;33;16.1;25.4;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582625;-65.000567;11/1/2021;159;26.84;tortugómetro;hembra;33;16.1;25.4;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.58267;-65.000648;11/1/2021;204;26.67;tortugómetro;hembra;33;16.1;25.7;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582601;-65.000472;11/1/2021;209;26.74;tortugómetro;hembra;33;16.1;25.7;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582625;-65.000535;11/1/2021;214;26.5;tortugómetro;hembra;33;16.1;25.7;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582615;-65.000589;11/1/2021;219;26.33;tortugómetro;hembra;33;16.1;25.7;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582649;-65.000589;11/1/2021;224;26.18;tortugómetro;hembra;33;16.1;25.7;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.5827;-65.000599;11/1/2021;229;25.99;tortugómetro;hembra;33;16.1;25.7;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582592;-65.000521;11/1/2021;234;25.87;tortugómetro;hembra;33;16.1;25.7;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582544;-65.000625;11/1/2021;239;25.75;tortugómetro;hembra;33;16.1;25.7;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582543;-65.000569;11/1/2021;244;25.58;tortugómetro;hembra;33;16.1;25.7;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582612;-65.00056;11/1/2021;249;25.44;tortugómetro;hembra;33;16.1;25.7;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582585;-65.000578;11/1/2021;254;25.42;tortugómetro;hembra;33;16.1;25.7;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582614;-65.000578;11/1/2021;300;25.35;tortugómetro;hembra;33;16.1;25.9;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582637;-65.000585;11/1/2021;305;25.49;tortugómetro;hembra;33;16.1;25.9;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582616;-65.000562;11/1/2021;310;25.48;tortugómetro;hembra;33;16.1;25.9;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582623;-65.000628;11/1/2021;314;25.52;tortugómetro;hembra;33;16.1;25.9;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582677;-65.000551;11/1/2021;319;25.14;tortugómetro;hembra;33;16.1;25.9;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582809;-65.00061;11/1/2021;324;24.94;tortugómetro;hembra;33;16.1;25.9;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582616;-65.000608;11/1/2021;330;24.83;tortugómetro;hembra;33;16.1;25.9;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582637;-65.000589;11/1/2021;335;24.69;tortugómetro;hembra;33;16.1;25.9;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582652;-65.000636;11/1/2021;340;24.62;tortugómetro;hembra;33;16.1;25.9;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
-40.582696;-65.000545;11/1/2021;345;24.51;tortugómetro;hembra;33;16.1;25.9;0.6;17.4;WNW;37.5;1005.2;0;3.9;1.1;30
