lat;lon;date;timeGMT;tempIMU;metodología;sexo;tempmax(C);tempmin(C);tempmed(C);Temprocíomediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km)
-40.584495;-64.998711;21/11/2021;1130;30.23;tortugómetro;macho;34;24.5;29.2;2.7;20.6;ESE;16.3;1009;*;4.1;0.5;30
-40.584432;-64.998752;21/11/2021;1140;34.19;tortugómetro;macho;34;24.5;29.2;2.7;20.6;ESE;16.3;1009;*;4.1;0.5;30
-40.584452;-64.99875;21/11/2021;1150;35.9;tortugómetro;macho;34;24.5;29.2;2.7;20.6;ESE;16.3;1009;*;4.1;0.5;30
-40.58441;-64.999006;21/11/2021;1159;39.53;tortugómetro;macho;34;24.5;29.2;2.7;20.6;ESE;16.3;1009;*;4.1;0.5;30
-40.584421;-64.999304;21/11/2021;1209;43.1;tortugómetro;macho;34;9.5;21.8;2.9;20.8;ESE;16.7;1009;0;4.2;0.6;30
-40.584464;-64.99977;21/11/2021;1219;43.29;tortugómetro;macho;34;9.5;21.8;2.9;20.8;ESE;16.7;1009;0;4.2;0.6;30
-40.584503;-64.999931;21/11/2021;1230;44.16;tortugómetro;macho;34;9.5;21.8;2.9;20.8;ESE;16.7;1009;0;4.2;0.6;30
-40.584516;-65.000371;21/11/2021;1239;44.79;tortugómetro;macho;34;9.5;21.8;2.9;20.8;ESE;16.7;1009;0;4.2;0.6;30
-40.584523;-65.000731;21/11/2021;1249;45.29;tortugómetro;macho;34;9.5;21.8;2.9;20.8;ESE;16.7;1009;0;4.2;0.6;30
-40.584494;-65.000681;21/11/2021;1259;45.91;tortugómetro;macho;34;9.5;21.8;2.9;20.8;ESE;16.7;1009;0;4.2;0.6;30
-40.584607;-65.000467;21/11/2021;1309;44.18;tortugómetro;macho;34;9.5;21.8;3;20.9;SE;16.3;1008.7;0;4.3;0.7;30
-40.584577;-65.000214;21/11/2021;1319;46.99;tortugómetro;macho;34;9.5;21.8;3;20.9;SE;16.3;1008.7;0;4.3;0.7;30
-40.584532;-64.999985;21/11/2021;1329;50.58;tortugómetro;macho;34;9.5;21.8;3;20.9;SE;16.3;1008.7;0;4.3;0.7;30
-40.584465;-64.99973;21/11/2021;1339;48.53;tortugómetro;macho;34;9.5;21.8;3;20.9;SE;16.3;1008.7;0;4.3;0.7;30
-40.584444;-64.999639;21/11/2021;1348;43.69;tortugómetro;macho;34;9.5;21.8;3;20.9;SE;16.3;1008.7;0;4.3;0.7;30
-40.584465;-64.999659;21/11/2021;1358;43.69;tortugómetro;macho;34;9.5;21.8;3;20.9;SE;16.3;1008.7;0;4.3;0.7;30
-40.584441;-64.999631;21/11/2021;1408;38.72;tortugómetro;macho;34;9.5;21.8;3.3;21.3;SE;16.1;1008.5;0;4.3;0.8;30
-40.584459;-64.999641;21/11/2021;1418;40.31;tortugómetro;macho;34;9.5;21.8;3.3;21.3;SE;16.1;1008.5;0;4.3;0.8;30
-40.584477;-64.999646;21/11/2021;1428;40.81;tortugómetro;macho;34;9.5;21.8;3.3;21.3;SE;16.1;1008.5;0;4.3;0.8;30
-40.584427;-64.999629;21/11/2021;1438;40.11;tortugómetro;macho;34;9.5;21.8;3.3;21.3;SE;16.1;1008.5;0;4.3;0.8;30
-40.584449;-64.999641;21/11/2021;1448;40.09;tortugómetro;macho;34;9.5;21.8;3.3;21.3;SE;16.1;1008.5;0;4.3;0.8;30
-40.584441;-64.999565;21/11/2021;1458;39.39;tortugómetro;macho;34;9.5;21.8;3.3;21.3;SE;16.1;1008.5;0;4.3;0.8;30
-40.584454;-64.9996;21/11/2021;1508;42.01;tortugómetro;macho;34;9.5;21.8;3.5;21.5;SE;16;1008.2;0;4.5;0.8;30
-40.5844;-64.999641;21/11/2021;1518;42.28;tortugómetro;macho;34;9.5;21.8;3.5;21.5;SE;16;1008.2;0;4.5;0.8;30
-40.584437;-64.999646;21/11/2021;1527;43.16;tortugómetro;macho;34;9.5;21.8;3.5;21.5;SE;16;1008.2;0;4.5;0.8;30
-40.5845;-64.999629;21/11/2021;1537;44.59;tortugómetro;macho;34;9.5;21.8;3.5;21.5;SE;16;1008.2;0;4.5;0.8;30
-40.584449;-64.999654;21/11/2021;1547;49.87;tortugómetro;macho;34;9.5;21.8;3.5;21.5;SE;16;1008.2;0;4.5;0.8;30
-40.584562;-64.999768;21/11/2021;1557;44.92;tortugómetro;macho;34;9.5;21.8;3.5;21.5;SE;16;1008.2;0;4.5;0.8;30
-40.584575;-64.999778;21/11/2021;1608;53.89;tortugómetro;macho;34;9.5;21.8;3.7;21.7;SE;15.4;1007.9;0;4.5;0.9;30
-40.584561;-64.999779;21/11/2021;1617;45.63;tortugómetro;macho;34;9.5;21.8;3.7;21.7;SE;15.4;1007.9;0;4.5;0.9;30
-40.584579;-64.99978;21/11/2021;1627;43.1;tortugómetro;macho;34;9.5;21.8;3.7;21.7;SE;15.4;1007.9;0;4.5;0.9;30
-40.584516;-64.999725;21/11/2021;1637;44.05;tortugómetro;macho;34;9.5;21.8;3.7;21.7;SE;15.4;1007.9;0;4.5;0.9;30
-40.584585;-64.999782;21/11/2021;1647;41.73;tortugómetro;macho;34;9.5;21.8;3.7;21.7;SE;15.4;1007.9;0;4.5;0.9;30
-40.58459;-64.999788;21/11/2021;1657;40.93;tortugómetro;macho;34;9.5;21.8;3.7;21.7;SE;15.4;1007.9;0;4.5;0.9;30
-40.584578;-64.999793;21/11/2021;1706;40.49;tortugómetro;macho;34;9.5;21.8;4;21.9;SE;15.1;1007.5;0;4.7;1.1;30
-40.584616;-64.999795;21/11/2021;1716;40.47;tortugómetro;macho;34;9.5;21.8;4;21.9;SE;15.1;1007.5;0;4.7;1.1;30
-40.584623;-64.999782;21/11/2021;1726;39.85;tortugómetro;macho;34;9.5;21.8;4;21.9;SE;15.1;1007.5;0;4.7;1.1;30
-40.584597;-64.999802;21/11/2021;1736;39.23;tortugómetro;macho;34;9.5;21.8;4;21.9;SE;15.1;1007.5;0;4.7;1.1;30
-40.584619;-64.999764;21/11/2021;1746;39.84;tortugómetro;macho;34;9.5;21.8;4;21.9;SE;15.1;1007.5;0;4.7;1.1;30
-40.584602;-64.999785;21/11/2021;1756;40.98;tortugómetro;macho;34;9.5;21.8;4;21.9;SE;15.1;1007.5;0;4.7;1.1;30
-40.584559;-64.999752;21/11/2021;1806;41.65;tortugómetro;macho;34;9.5;21.8;4.6;22.9;SE;15.1;1007.2;0;4.8;1.2;30
-40.584533;-64.999574;21/11/2021;1816;40.06;tortugómetro;macho;34;9.5;21.8;4.6;22.9;SE;15.1;1007.2;0;4.8;1.2;30
-40.584456;-64.999055;21/11/2021;1826;45;tortugómetro;macho;34;9.5;21.8;4.6;22.9;SE;15.1;1007.2;0;4.8;1.2;30
-40.584453;-64.999015;21/11/2021;1836;46.1;tortugómetro;macho;34;9.5;21.8;4.6;22.9;SE;15.1;1007.2;0;4.8;1.2;30
-40.584483;-64.998976;21/11/2021;1846;51.36;tortugómetro;macho;34;9.5;21.8;4.6;22.9;SE;15.1;1007.2;0;4.8;1.2;30
-40.584524;-64.998933;21/11/2021;1856;43.11;tortugómetro;macho;34;9.5;21.8;4.6;22.9;SE;15.1;1007.2;0;4.8;1.2;30
-40.584537;-64.998945;21/11/2021;1905;45.56;tortugómetro;macho;34;9.5;21.8;5;24.2;SE;15.1;1006.8;0;4.8;1.3;30
-40.584536;-64.998943;21/11/2021;1915;41.78;tortugómetro;macho;34;9.5;21.8;5;24.2;SE;15.1;1006.8;0;4.8;1.3;30
-40.584532;-64.998964;21/11/2021;1925;40.11;tortugómetro;macho;34;9.5;21.8;5;24.2;SE;15.1;1006.8;0;4.8;1.3;30
-40.584391;-64.998489;21/11/2021;1935;39.12;tortugómetro;macho;34;9.5;21.8;5;24.2;SE;15.1;1006.8;0;4.8;1.3;30
-40.584384;-64.998352;21/11/2021;1945;41.62;tortugómetro;macho;34;9.5;21.8;5;24.2;SE;15.1;1006.8;0;4.8;1.3;30
-40.584358;-64.997967;21/11/2021;1955;42.46;tortugómetro;macho;34;9.5;21.8;5;24.2;SE;15.1;1006.8;0;4.8;1.3;30
-40.584309;-64.997564;21/11/2021;2005;40.12;tortugómetro;macho;34;9.5;21.8;5.6;25.6;SE;15;1006.8;0;4.9;1.4;30
-40.584314;-64.997296;21/11/2021;2015;45.23;tortugómetro;macho;34;9.5;21.8;5.6;25.6;SE;15;1006.8;0;4.9;1.4;30
-40.58425;-64.997299;21/11/2021;2025;41.36;tortugómetro;macho;34;9.5;21.8;5.6;25.6;SE;15;1006.8;0;4.9;1.4;30
-40.584337;-64.997086;21/11/2021;2035;38.96;tortugómetro;macho;34;9.5;21.8;5.6;25.6;SE;15;1006.8;0;4.9;1.4;30
-40.584367;-64.996882;21/11/2021;2044;39.76;tortugómetro;macho;34;9.5;21.8;5.6;25.6;SE;15;1006.8;0;4.9;1.4;30
-40.584307;-64.996461;21/11/2021;2054;40.39;tortugómetro;macho;34;9.5;21.8;5.6;25.6;SE;15;1006.8;0;4.9;1.4;30
-40.584324;-64.996342;21/11/2021;2104;40.38;tortugómetro;macho;34;9.5;21.8;6.2;27.3;SE;14.4;1006.9;0;5;1.4;30
-40.584317;-64.99611;21/11/2021;2114;39.08;tortugómetro;macho;34;9.5;21.8;6.2;27.3;SE;14.4;1006.9;0;5;1.4;30
-40.584297;-64.996253;21/11/2021;2124;37.72;tortugómetro;macho;34;9.5;21.8;6.2;27.3;SE;14.4;1006.9;0;5;1.4;30
-40.584216;-64.996486;21/11/2021;2134;36.22;tortugómetro;macho;34;9.5;21.8;6.2;27.3;SE;14.4;1006.9;0;5;1.4;30
-40.584091;-64.996466;21/11/2021;2144;35.43;tortugómetro;macho;34;9.5;21.8;6.2;27.3;SE;14.4;1006.9;0;5;1.4;30
-40.584016;-64.996766;21/11/2021;2153;34.44;tortugómetro;macho;34;9.5;21.8;6.2;27.3;SE;14.4;1006.9;0;5;1.4;30
-40.5839;-64.996908;21/11/2021;2203;33.62;tortugómetro;macho;32;9.5;19.2;6.7;28.6;SE;14.1;1007.4;0;5.1;1.4;30
-40.583675;-64.997014;21/11/2021;2213;32.6;tortugómetro;macho;32;9.5;19.2;6.7;28.6;SE;14.1;1007.4;0;5.1;1.4;30
-40.583711;-64.997125;21/11/2021;2223;31.86;tortugómetro;macho;32;9.5;19.2;6.7;28.6;SE;14.1;1007.4;0;5.1;1.4;30
-40.583791;-64.997061;21/11/2021;2233;31.09;tortugómetro;macho;32;9.5;19.2;6.7;28.6;SE;14.1;1007.4;0;5.1;1.4;30
