lat;lon;date;timeGMT;tempIMU;Metodología;sexo;tempmax(C);tempmin(C);tempmed(C);Temprocíomediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km)
-40.584673;-64.99739;23/9/2021;1307;26.49;tortugómetro;macho;24.6;1.5;13.1;1.7;31.1;NNW;30.5;1020.1;0.0;0.7;0.6;30.0
-40.5847;-64.99739;23/9/2021;1317;33.86;tortugómetro;macho;24.6;1.5;13.1;1.7;31.1;NNW;30.5;1020.1;0.0;0.7;0.6;30.0
-40.584678;-64.997376;23/9/2021;1327;37.23;tortugómetro;macho;24.6;1.5;13.1;1.7;31.1;NNW;30.5;1020.1;0.0;0.7;0.6;30.0
-40.584705;-64.997369;23/9/2021;1337;39.85;tortugómetro;macho;24.6;1.5;13.1;1.7;31.1;NNW;30.5;1020.1;0.0;0.7;0.6;30.0
-40.584702;-64.997367;23/9/2021;1347;41.87;tortugómetro;macho;24.6;1.5;13.1;1.7;31.1;NNW;30.5;1020.1;0.0;0.7;0.6;30.0
-40.584739;-64.997372;23/9/2021;1357;43.77;tortugómetro;macho;24.6;1.5;13.1;1.7;31.1;NNW;30.5;1020.1;0.0;0.7;0.6;30.0
-40.584729;-64.997407;23/9/2021;1408;42.59;tortugómetro;macho;24.6;1.5;13.1;1.7;30.8;NNW;28.2;1020.1;0.0;0.6;0.6;30.0
-40.584722;-64.997407;23/9/2021;1417;43.52;tortugómetro;macho;24.6;1.5;13.1;1.7;30.8;NNW;28.2;1020.1;0.0;0.6;0.6;30.0
-40.58472;-64.997408;23/9/2021;1427;43.52;tortugómetro;macho;24.6;1.5;13.1;1.7;30.8;NNW;28.2;1020.1;0.0;0.6;0.6;30.0
-40.584713;-64.997411;23/9/2021;1437;41.06;tortugómetro;macho;24.6;1.5;13.1;1.7;30.8;NNW;28.2;1020.1;0.0;0.6;0.6;30.0
-40.584716;-64.997432;23/9/2021;1448;40.96;tortugómetro;macho;24.6;1.5;13.1;1.7;30.8;NNW;28.2;1020.1;0.0;0.6;0.6;30.0
-40.584718;-64.997406;23/9/2021;1458;39.81;tortugómetro;macho;24.6;1.5;13.1;1.7;30.8;NNW;28.2;1020.1;0.0;0.6;0.6;30.0
-40.584713;-64.997406;23/9/2021;1508;40.91;tortugómetro;macho;24.6;1.5;13.1;1.5;30.6;NNW;26.1;1020.1;0.0;0.5;0.5;30.0
-40.584716;-64.997409;23/9/2021;1518;41.4;tortugómetro;macho;24.6;1.5;13.1;1.5;30.6;NNW;26.1;1020.1;0.0;0.5;0.5;30.0
-40.584617;-64.9972;23/9/2021;1528;44.36;tortugómetro;macho;24.6;1.5;13.1;1.5;30.6;NNW;26.1;1020.1;0.0;0.5;0.5;30.0
-40.584731;-64.997415;23/9/2021;1538;45.82;tortugómetro;macho;24.6;1.5;13.1;1.5;30.6;NNW;26.1;1020.1;0.0;0.5;0.5;30.0
-40.584726;-64.997416;23/9/2021;1548;47.32;tortugómetro;macho;24.6;1.5;13.1;1.5;30.6;NNW;26.1;1020.1;0.0;0.5;0.5;30.0
-40.584742;-64.997505;23/9/2021;1558;50.33;tortugómetro;macho;24.6;1.5;13.1;1.5;30.6;NNW;26.1;1020.1;0.0;0.5;0.5;30.0
-40.584741;-64.997496;23/9/2021;1608;45.44;tortugómetro;macho;24.6;1.5;13.1;1.3;30.4;NNW;24.2;1020.1;0.0;0.4;0.4;30.0 	
-40.584729;-64.997491;23/9/2021;1618;43.6;tortugómetro;macho;24.6;1.5;13.1;1.3;30.4;NNW;24.2;1020.1;0.0;0.4;0.4;30.0
-40.584745;-64.997487;23/9/2021;1629;45.13;tortugómetro;macho;24.6;1.5;13.1;1.3;30.4;NNW;24.2;1020.1;0.0;0.4;0.4;30.0
-40.584733;-64.997475;23/9/2021;1638;44.26;tortugómetro;macho;24.6;1.5;13.1;1.3;30.4;NNW;24.2;1020.1;0.0;0.4;0.4;30.0
-40.584762;-64.997475;23/9/2021;1648;43.78;tortugómetro;macho;24.6;1.5;13.1;1.3;30.4;NNW;24.2;1020.1;0.0;0.4;0.4;30.0
-40.584731;-64.99748;23/9/2021;1658;43.24;tortugómetro;macho;24.6;1.5;13.1;1.3;30.4;NNW;24.2;1020.1;0.0;0.4;0.4;30.0
-40.584722;-64.997501;23/9/2021;1708;42.32;tortugómetro;macho;24.6;1.5;13.1;1.2;30.5;NNW;22.5;1020.1;0.0;0.3;0.5;30.0
-40.584723;-64.997488;23/9/2021;1719;42.53;tortugómetro;macho;24.6;1.5;13.1;1.2;30.5;NNW;22.5;1020.1;0.0;0.3;0.5;30.0
-40.584718;-64.997548;23/9/2021;1729;42.18;tortugómetro;macho;24.6;1.5;13.1;1.2;30.5;NNW;22.5;1020.1;0.0;0.3;0.5;30.0
-40.58474;-64.997488;23/9/2021;1739;41.66;tortugómetro;macho;24.6;1.5;13.1;1.2;30.5;NNW;22.5;1020.1;0.0;0.3;0.5;30.0
