lat;lon;date;timeGMT;tempIMU;metodologia;sexo;tempmax(C);tempmin(C);tempmed(C);Temprocíomediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km)
-40.58471;-64.995325;29/11/2020;1308;25.5;tortugómetro;hembra;31;10.8;20.9;2.4;24.7;SSW;25.2;1011.3;0;3.2;1.8;30
-40.584788;-64.995257;29/11/2020;1309;25.5;tortugómetro;hembra;31;10.8;20.9;2.4;24.7;SSW;25.2;1011.3;0;3.2;1.8;30
-40.584813;-64.995289;29/11/2020;1319;38.07;tortugómetro;hembra;31;10.8;20.9;2.4;24.7;SSW;25.2;1011.3;0;3.2;1.8;30
-40.584781;-64.99539;29/11/2020;1329;51.39;tortugómetro;hembra;31;10.8;20.9;2.4;24.7;SSW;25.2;1011.3;0;3.2;1.8;30
-40.584801;-64.99534;29/11/2020;1339;46.54;tortugómetro;hembra;31;10.8;20.9;2.4;24.7;SSW;25.2;1011.3;0;3.2;1.8;30
-40.58482;-64.995334;29/11/2020;1349;42.41;tortugómetro;hembra;31;10.8;20.9;2.4;24.7;SSW;25.2;1011.3;0;3.2;1.8;30
-40.584831;-64.995337;29/11/2020;1359;39.41;tortugómetro;hembra;31;10.8;20.9;2.4;24.7;SSW;25.2;1011.3;0;3.2;1.8;30
-40.584838;-64.995325;29/11/2020;1410;40.79;tortugómetro;hembra;31;10.8;20.9;2;24.9;SSW;26.1;1012;0;3.1;2;30
-40.584802;-64.995333;29/11/2020;1420;38.71;tortugómetro;hembra;31;10.8;20.9;2;24.9;SSW;26.1;1012;0;3.1;2;30
-40.584816;-64.995333;29/11/2020;1430;41.4;tortugómetro;hembra;31;10.8;20.9;2;24.9;SSW;26.1;1012;0;3.1;2;30
-40.584843;-64.995284;29/11/2020;1440;41.28;tortugómetro;hembra;31;10.8;20.9;2;24.9;SSW;26.1;1012;0;3.1;2;30
-40.584846;-64.995286;29/11/2020;1450;32.14;tortugómetro;hembra;31;10.8;20.9;2;24.9;SSW;26.1;1012;0;3.1;2;30
-40.584865;-64.995324;29/11/2020;1500;30.78;tortugómetro;hembra;31;10.8;20.9;1.7;25.2;SSW;26.7;1012.7;0;2.8;2.1;30
-40.584897;-64.995307;29/11/2020;1510;31.39;tortugómetro;hembra;31;10.8;20.9;1.7;25.2;SSW;26.7;1012.7;0;2.8;2.1;30
-40.58484;-64.995376;29/11/2020;1521;31.8;tortugómetro;hembra;31;10.8;20.9;1.7;25.2;SSW;26.7;1012.7;0;2.8;2.1;30
-40.584828;-64.99524;29/11/2020;1531;30.36;tortugómetro;hembra;31;10.8;20.9;1.7;25.2;SSW;26.7;1012.7;0;2.8;2.1;30
-40.584843;-64.995236;29/11/2020;1541;29.39;tortugómetro;hembra;31;10.8;20.9;1.7;25.2;SSW;26.7;1012.7;0;2.8;2.1;30
-40.584842;-64.99524;29/11/2020;1551;29.07;tortugómetro;hembra;31;10.8;20.9;1.7;25.2;SSW;26.7;1012.7;0;2.8;2.1;30
-40.584853;-64.99534;29/11/2020;1601;29.56;tortugómetro;hembra;31;10.8;20.9;1.5;25.7;SSW;26.7;1013.3;0;2.6;2.2;30
-40.584855;-64.995344;29/11/2020;1611;30.83;tortugómetro;hembra;31;10.8;20.9;1.5;25.7;SSW;26.7;1013.3;0;2.6;2.2;30
-40.584854;-64.995335;29/11/2020;1621;31.94;tortugómetro;hembra;31;10.8;20.9;1.5;25.7;SSW;26.7;1013.3;0;2.6;2.2;30
