lat;lon;date;timeGMT;tempIMU;metodologia;sexo;tempmax(C);tempmin(C);tempmed(C);Temprocíomediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km);
-40.58455;-64.99897;29/11/2020;1645;*;yagui;hembra;31;10.8;20.9;1.5;25.7;SSW;26.7;1013.3;0;2.6;2.2;30;
-40.58456;-64.99898;29/11/2020;1720;*;yagui;hembra;31;10.8;20.9;1.4;26.4;SSW;26.7;1014.1;0;2.5;2.3;30;
-40.58455;-64.99896;29/11/2020;1747;*;yagui;hembra;31;10.8;20.9;1.4;26.4;SSW;26.7;1014.1;0;2.5;2.3;30;
-40.5844;-64.99824;29/11/2020;1903;*;yagui;hembra;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30;
-40.58439;-64.99808;29/11/2020;1907;*;yagui;hembra;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30;
-40.58434;-64.99785;29/11/2020;1912;*;yagui;hembra;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30;
-40.58433;-64.99763;29/11/2020;1919;*;yagui;hembra;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30;
-40.58427;-64.99761;29/11/2020;1927;*;yagui;hembra;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30;
-40.58423;-64.99763;29/11/2020;1930;*;yagui;hembra;31;10.8;20.9;0.6;27;S;27.4;1015.7;0;2.1;2.7;30;
-40.58418;-64.99756;29/11/2020;2006;*;yagui;hembra;31;10.8;20.9;0.8;28.4;S;27.5;1016.6;0;1.9;3;30;
-40.58395;-64.99723;29/11/2020;2049;*;yagui;hembra;31;10.8;20.9;0.8;28.4;S;27.5;1016.6;0;1.9;3;30;
-40.58374;-64.99713;29/11/2020;2120;*;yagui;hembra;31;10.8;20.9;0.8;29.2;SSE;26.7;1017.5;0;1.6;3;30;
-40.5837;-64.99706;29/11/2020;2135;*;yagui;hembra;31;10.8;20.9;0.8;29.2;SSE;26.7;1017.5;0;1.6;3;30;
-40.58369;-64.9971;30/11/2020;1213;*;yagui;hembra;20.3;7;13.7;-1;26.7;ESE;20.8;1020.1;0;0.1;*;30;
-40.58369;-64.99709;30/11/2020;1236;*;yagui;hembra;20.3;7;13.7;-1;26.7;ESE;20.8;1020.1;0;0.1;*;30;
-40.58355;-64.9969;30/11/2020;1327;*;yagui;hembra;21.2;7;13.7;-1.1;26;ESE;21.7;1020.1;0;0;*;30;
-40.58354;-64.99692;30/11/2020;1418;*;yagui;hembra;22.7;7;13.7;-1.1;25.5;ENE;22.7;1020;0;0;*;30;
-40.58354;-64.99691;30/11/2020;1524;*;yagui;hembra;26.3;7;13.7;-1.3;24.6;NE;24.1;1020;0;0;*;30;
-40.58356;-64.99691;30/11/2020;1712;*;yagui;hembra;29.8;7;13.7;-2;22;N;27.5;1019.9;0;0;*;30;
-40.58356;-64.99691;30/11/2020;1842;*;yagui;hembra;30.1;7;13.7;-2.8;20.2;NNW;28.8;1019.9;0;0;*;30;
-40.58357;-64.99693;30/11/2020;2140;*;yagui;hembra;32.7;7;13.7;-5.4;14.9;NW;31.4;1020.2;0;0.2;0;30;
-40.58355;-64.9969;1/12/2020;1133;*;yagui;hembra;34;18.5;26.2;-7.4;10.3;NW;33.9;1015;*;0.6;0.2;30;
-40.58356;-64.99693;1/12/2020;1210;*;yagui;hembra;34;18.5;26.2;-7;10.4;NW;33.1;1008.8;0;0.6;0.2;30;
-40.58345;-64.99669;1/12/2020;1236;*;yagui;hembra;34;18.5;26.2;-7;10.4;NW;33.1;1008.8;0;0.6;0.2;30;
-40.58366;-64.99679;1/12/2020;1309;*;yagui;hembra;34;18.5;26.2;-7.2;9.8;NW;31.8;1008.8;0;0.6;0.2;30;
-40.58382;-64.9971;1/12/2020;1405;*;yagui;hembra;34;18.5;26.2;-7.8;9;NW;30.5;1008.8;0;0.7;0.2;30;
-40.58381;-64.99712;1/12/2020;1437;*;yagui;hembra;34;18.5;26.2;-7.8;9;NW;30.5;1008.8;0;0.7;0.2;30;
-40.58383;-64.99711;1/12/2020;1521;*;yagui;hembra;34;18.5;26.2;-8.7;8.3;NW;29.7;1008.8;0;0.8;0.1;30;
-40.58383;-64.99707;1/12/2020;1640;*;yagui;hembra;34;18.5;26.2;-9.8;7.6;NW;28.4;1008.8;0;0.8;0.1;30;
-40.58384;-64.99709;1/12/2020;1856;*;yagui;hembra;35.4;18.5;26.2;-12.6;6.5;WNW;28.1;1008.8;0;0.8;0.1;30;
-40.58392;-64.9971;1/12/2020;2022;*;yagui;hembra;36.5;18.5;26.2;-14.4;5.9;WNW;28.1;1008.8;0;0.8;0.4;30;
-40.58391;-64.99712;1/12/2020;2115;*;yagui;hembra;36.5;18.5;26.2;-15.3;5.6;WNW;28.1;1008.8;0;0.8;0.5;30;
-40.58401;-64.99703;1/12/2020;2135;*;yagui;hembra;36.5;18.5;26.2;-15.3;5.6;WNW;28.1;1008.8;0;0.8;0.5;30;
-40.58436;-64.99773;1/12/2020;2203;*;yagui;hembra;36.5;18.5;23.2;-15.8;5.4;WNW;27.7;1008.8;0;0.8;0.6;30;
-40.58451;-64.9986;2/12/2020;1120;*;yagui;hembra;37.3;18.2;27.8;-15.8;6.1;WNW;28.8;1005.8;*;0.6;0.8;30;
-40.5845;-64.99857;2/12/2020;1154;*;yagui;hembra;37.3;18.2;27.8;-15.8;6.1;WNW;28.8;1005.8;*;0.6;0.8;30;
-40.58409;-64.99803;2/12/2020;1226;*;yagui;hembra;37.3;14.8;26;-15.6;7.3;W;29.2;1009.2;0;0.8;0.9;30;
