lat;lon;date;timeGMT;tempIMU;Metodología;sexo;tempmax(C);tempmin(C);tempmed(C);Temprocíomediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km)
-40.586292;-65.002746;21/11/2021;1048;26.82;tortugómetro;;34;24.5;29.2;2.7;20.6;ESE;16.3;1009;*;4.1;0.5;30
-40.586275;-65.002744;21/11/2021;1059;25.47;tortugómetro;;34;24.5;29.2;2.7;20.6;ESE;16.3;1009;*;4.1;0.5;30
-40.586274;-65.002745;21/11/2021;1109;23.77;tortugómetro;;34;24.5;29.2;2.7;20.6;ESE;16.3;1009;*;4.1;0.5;30
-40.586281;-65.002749;21/11/2021;1119;24.3;tortugómetro;;34;24.5;29.2;2.7;20.6;ESE;16.3;1009;*;4.1;0.5;30
-40.586286;-65.002694;21/11/2021;1129;25.49;tortugómetro;;34;24.5;29.2;2.7;20.6;ESE;16.3;1009;*;4.1;0.5;30
-40.586294;-65.002671;21/11/2021;1139;34.36;tortugómetro;;34;24.5;29.2;2.7;20.6;ESE;16.3;1009;*;4.1;0.5;30
-40.586274;-65.00264;21/11/2021;1149;39.23;tortugómetro;;34;24.5;29.2;2.7;20.6;ESE;16.3;1009;*;4.1;0.5;30
-40.586286;-65.002658;21/11/2021;1159;40.83;tortugómetro;;34;24.5;29.2;2.7;20.6;ESE;16.3;1009;*;4.1;0.5;30
-40.586295;-65.002683;21/11/2021;1209;43.79;tortugómetro;;34;9.5;21.8;2.9;20.8;ESE;16.7;1009;0;4.2;0.6;30
-40.586289;-65.002661;21/11/2021;1219;43.92;tortugómetro;;34;9.5;21.8;2.9;20.8;ESE;16.7;1009;0;4.2;0.6;30
-40.586323;-65.002677;21/11/2021;1230;45.7;tortugómetro;;34;9.5;21.8;2.9;20.8;ESE;16.7;1009;0;4.2;0.6;30
-40.586343;-65.00272;21/11/2021;1240;44.77;tortugómetro;;34;9.5;21.8;2.9;20.8;ESE;16.7;1009;0;4.2;0.6;30
-40.586323;-65.002796;21/11/2021;1250;44.29;tortugómetro;;34;9.5;21.8;2.9;20.8;ESE;16.7;1009;0;4.2;0.6;30
-40.586342;-65.002935;21/11/2021;1300;44.41;tortugómetro;;34;9.5;21.8;3;20.9;SE;16.3;1008.7;0;4.3;0.7;30
-40.586365;-65.002914;21/11/2021;1310;42.68;tortugómetro;;34;9.5;21.8;3;20.9;SE;16.3;1008.7;0;4.3;0.7;30
-40.58635;-65.002916;21/11/2021;1320;41.02;tortugómetro;;34;9.5;21.8;3;20.9;SE;16.3;1008.7;0;4.3;0.7;30
-40.586359;-65.002929;21/11/2021;1330;40.87;tortugómetro;;34;9.5;21.8;3;20.9;SE;16.3;1008.7;0;4.3;0.7;30
-40.586353;-65.002915;21/11/2021;1340;41.01;tortugómetro;;34;9.5;21.8;3;20.9;SE;16.3;1008.7;0;4.3;0.7;30
-40.586362;-65.002922;21/11/2021;1351;41.31;tortugómetro;;34;9.5;21.8;3;20.9;SE;16.3;1008.7;0;4.3;0.7;30
-40.586369;-65.00294;21/11/2021;1401;41.45;tortugómetro;;34;9.5;21.8;3.3;21.3;SE;16.1;1008.5;0;4.3;0.8;30
-40.586357;-65.002926;21/11/2021;1411;40.57;tortugómetro;;34;9.5;21.8;3.3;21.3;SE;16.1;1008.5;0;4.3;0.8;30
-40.586363;-65.002941;21/11/2021;1421;40.62;tortugómetro;;34;9.5;21.8;3.3;21.3;SE;16.1;1008.5;0;4.3;0.8;30
-40.586361;-65.002943;21/11/2021;1432;40.97;tortugómetro;;34;9.5;21.8;3.3;21.3;SE;16.1;1008.5;0;4.3;0.8;30
-40.586369;-65.002928;21/11/2021;1442;41.16;tortugómetro;;34;9.5;21.8;3.3;21.3;SE;16.1;1008.5;0;4.3;0.8;30
-40.58637;-65.002944;21/11/2021;1451;41.4;tortugómetro;;34;9.5;21.8;3.3;21.3;SE;16.1;1008.5;0;4.3;0.8;30
-40.586368;-65.002931;21/11/2021;1501;41.39;tortugómetro;;34;9.5;21.8;3.5;21.5;SE;16;1008.2;0;4.5;0.8;30
-40.586357;-65.002939;21/11/2021;1512;41.1;tortugómetro;;34;9.5;21.8;3.5;21.5;SE;16;1008.2;0;4.5;0.8;30
-40.586361;-65.002939;21/11/2021;1521;40.22;tortugómetro;;34;9.5;21.8;3.5;21.5;SE;16;1008.2;0;4.5;0.8;30
-40.586363;-65.002936;21/11/2021;1532;38.95;tortugómetro;;34;9.5;21.8;3.5;21.5;SE;16;1008.2;0;4.5;0.8;30
-40.586362;-65.002942;21/11/2021;1542;38.52;tortugómetro;;34;9.5;21.8;3.5;21.5;SE;16;1008.2;0;4.5;0.8;30
-40.586373;-65.002942;21/11/2021;1552;38.4;tortugómetro;;34;9.5;21.8;3.5;21.5;SE;16;1008.2;0;4.5;0.8;30
-40.586375;-65.002937;21/11/2021;1602;38.86;tortugómetro;;34;9.5;21.8;3.7;21.7;SE;15.4;1007.9;0;4.5;0.9;30
-40.586371;-65.002932;21/11/2021;1612;38.33;tortugómetro;;34;9.5;21.8;3.7;21.7;SE;15.4;1007.9;0;4.5;0.9;30
-40.586383;-65.002933;21/11/2021;1622;37.91;tortugómetro;;34;9.5;21.8;3.7;21.7;SE;15.4;1007.9;0;4.5;0.9;30
-40.586374;-65.002925;21/11/2021;1632;39.1;tortugómetro;;34;9.5;21.8;3.7;21.7;SE;15.4;1007.9;0;4.5;0.9;30
