lat;lon;date;timeGMT;tempIMU;Metodología;sexo;tempmax(C);tempmin(C);tempmed(C);Temproc�omediadiaria(C);Humedadrelativadiaria(%);vientodir;viento(km/h)vel;Presionsobreniveldelmar(Hp);Prec(mm);NubesTotOct;NubbajOct;Vis(km)
-40.5844;-64.999957;24/9/2021;1500;15.25;tortug�metro;hembra;25.4;5.4;12.6;2.9;37.4;E;17.1;1020.3;0.0;0.9;0.5;30.0
-40.584447;-65.000047;24/9/2021;1510;42.8;tortug�metro;hembra;25.4;5.4;12.6;2.9;37.4;E;17.1;1020.3;0.0;0.9;0.5;30.0
-40.584496;-65.000136;24/9/2021;1520;44.63;tortug�metro;hembra;25.4;5.4;12.6;2.9;37.4;E;17.1;1020.3;0.0;0.9;0.5;30.0
-40.584506;-65.000256;24/9/2021;1530;45.1;tortug�metro;hembra;25.4;5.4;12.6;2.9;37.4;E;17.1;1020.3;0.0;0.9;0.5;30.0
-40.584523;-65.000297;24/9/2021;1540;46.57;tortug�metro;hembra;25.4;5.4;12.6;2.9;37.4;E;17.1;1020.3;0.0;0.9;0.5;30.0
-40.584514;-65.000462;24/9/2021;1550;46.95;tortug�metro;hembra;25.4;5.4;12.6;2.9;37.4;E;17.1;1020.3;0.0;0.9;0.5;30.0
-40.584473;-65.000525;24/9/2021;1600;46.39;tortug�metro;hembra;27.4;5.4;12.6;2.8;36.4;NNE;18.4;1020.0;0.0;0.9;0.5;30.0
-40.58447;-65.000518;24/9/2021;1610;46.18;tortug�metro;hembra;27.4;5.4;12.6;2.8;36.4;NNE;18.4;1020.0;0.0;0.9;0.5;30.0
-40.584469;-65.000503;24/9/2021;1620;45.69;tortug�metro;hembra;27.4;5.4;12.6;2.8;36.4;NNE;18.4;1020.0;0.0;0.9;0.5;30.0
-40.584463;-65.00052;24/9/2021;1630;47.85;tortug�metro;hembra;27.4;5.4;12.6;2.8;36.4;NNE;18.4;1020.0;0.0;0.9;0.5;30.0
-40.584477;-65.00052;24/9/2021;1640;41.18;tortug�metro;hembra;27.4;5.4;12.6;2.8;36.4;NNE;18.4;1020.0;0.0;0.9;0.5;30.0
-40.584499;-65.00052;24/9/2021;1651;38.93;tortug�metro;hembra;27.4;5.4;12.6;2.8;36.4;NNE;18.4;1020.0;0.0;0.9;0.5;30.0
-40.58447;-65.000512;24/9/2021;1700;37.99;tortug�metro;hembra;28.4;5.4;12.6;2.8;35.2;NNE;19.5;1019.6;0.0;0.9;0.5;30.0
-40.584457;-65.000515;24/9/2021;1710;37.31;tortug�metro;hembra;28.4;5.4;12.6;2.8;35.2;NNE;19.5;1019.6;0.0;0.9;0.5;30.0
-40.584449;-65.000545;24/9/2021;1720;36.9;tortug�metro;hembra;28.4;5.4;12.6;2.8;35.2;NNE;19.5;1019.6;0.0;0.9;0.5;30.0
-40.584471;-65.000518;24/9/2021;1730;36.5;tortug�metro;hembra;28.4;5.4;12.6;2.8;35.2;NNE;19.5;1019.6;0.0;0.9;0.5;30.0
-40.584449;-65.000518;24/9/2021;1741;36.48;tortug�metro;hembra;28.4;5.4;12.6;2.8;35.2;NNE;19.5;1019.6;0.0;0.9;0.5;30.0
-40.584481;-65.000534;24/9/2021;1751;36.27;tortug�metro;hembra;28.4;5.4;12.6;2.8;35.2;NNE;19.5;1019.6;0.0;0.9;0.5;30.0
-40.584467;-65.000534;24/9/2021;1801;35.82;tortug�metro;hembra;29.6;5.4;12.6;2.5;33.5;N;21.1;1019.2;0.0;0.9;0.5;30.0
-40.584455;-65.000526;24/9/2021;1811;35.31;tortug�metro;hembra;29.6;5.4;12.6;2.5;33.5;N;21.1;1019.2;0.0;0.9;0.5;30.0
-40.584475;-65.000531;24/9/2021;1821;34.91;tortug�metro;hembra;29.6;5.4;12.6;2.5;33.5;N;21.1;1019.2;0.0;0.9;0.5;30.0
-40.584469;-65.000531;24/9/2021;1831;34.61;tortug�metro;hembra;29.6;5.4;12.6;2.5;33.5;N;21.1;1019.2;0.0;0.9;0.5;30.0
