Date,Time,Latitude,Longitude
2022/01/27,18:27:00,-40.58499,-65.0051
2022/01/27,18:58:25,-40.584839,-65.005287
2022/01/27,19:13:39,-40.584827,-65.005211
2022/01/27,19:28:44,-40.584923,-65.005119
2022/01/27,19:43:42,-40.585003,-65.005112
2022/01/27,19:58:38,-40.584850,-65.005173
2022/01/27,20:13:58,-40.584911,-65.005226
2022/01/27,20:29:14,-40.584908,-65.005211
2022/01/27,20:44:28,-40.584908,-65.005219
2022/01/27,20:59:41,-40.584885,-65.005188
2022/01/28,06:02:32,-40.584816,-65.005211
2022/01/28,06:17:58,-40.584808,-65.005188
2022/01/28,06:33:24,-40.584793,-65.005188
2022/01/28,06:48:50,-40.584820,-65.005196
2022/01/28,07:04:18,-40.584805,-65.005219
2022/01/28,07:19:45,-40.584805,-65.005196
2022/01/28,07:35:15,-40.584774,-65.005203
2022/01/28,07:50:46,-40.584751,-65.005196
2022/01/28,08:06:09,-40.584866,-65.005165
2022/01/28,08:21:09,-40.584797,-65.005173
2022/01/28,08:36:11,-40.584793,-65.005180
2022/01/28,08:51:24,-40.584778,-65.005196
2022/01/28,09:07:20,-40.584797,-65.005203
2022/01/28,09:22:43,-40.584805,-65.005196
2022/01/28,09:38:12,-40.584793,-65.005180
2022/01/28,09:53:46,-40.584805,-65.005234
2022/01/28,10:09:13,-40.584824,-65.005356
2022/01/28,10:24:31,-40.584805,-65.005470
2022/01/28,10:39:53,-40.585011,-65.005562
2022/01/28,10:55:12,-40.584991,-65.005486
2022/01/28,11:10:36,-40.584991,-65.005508
2022/01/28,11:25:48,-40.585007,-65.005539
2022/01/28,11:41:03,-40.585003,-65.005539
2022/01/28,11:56:33,-40.584980,-65.005486
2022/01/28,12:11:43,-40.584984,-65.005508
2022/01/28,12:26:47,-40.585007,-65.005524
2022/01/28,12:41:52,-40.584949,-65.005470
2022/01/28,12:56:57,-40.584991,-65.005501
2022/01/28,13:12:06,-40.585011,-65.005501
2022/01/28,13:27:12,-40.585026,-65.005539
2022/01/28,13:42:20,-40.584969,-65.005470
2022/01/28,13:57:29,-40.584988,-65.005455
2022/01/28,14:12:46,-40.584965,-65.005447
2022/01/28,14:28:32,-40.584969,-65.005501
2022/01/28,14:43:44,-40.584988,-65.005501
2022/01/28,14:58:55,-40.584995,-65.005516
2022/01/28,15:14:10,-40.584976,-65.005478
2022/01/28,15:29:22,-40.584999,-65.005501
2022/01/28,15:44:34,-40.585003,-65.005501
2022/01/28,15:59:46,-40.584991,-65.005478
2022/01/28,16:15:01,-40.585022,-65.005508
2022/01/28,16:30:14,-40.585011,-65.005478
2022/01/28,16:45:26,-40.585011,-65.005501
2022/01/28,17:01:02,-40.584980,-65.005508
2022/01/28,17:16:14,-40.584984,-65.005493
2022/01/28,17:31:26,-40.584995,-65.005501
2022/01/28,17:46:37,-40.584988,-65.005478
2022/01/28,18:01:50,-40.584976,-65.005493
2022/01/28,18:17:00,-40.585007,-65.005463
2022/01/28,18:32:10,-40.585030,-65.005463
2022/01/28,18:47:19,-40.584972,-65.005455
2022/01/28,19:02:32,-40.584980,-65.005440
2022/01/28,19:17:50,-40.584854,-65.005417
2022/01/28,19:33:21,-40.584881,-65.005280
2022/01/28,19:49:03,-40.584831,-65.005234
2022/01/28,20:06:06,-40.584812,-65.005264
2022/01/28,20:21:08,-40.584812,-65.005264
2022/01/28,20:36:08,-40.584812,-65.005234
2022/01/28,20:51:06,-40.584793,-65.005249
2022/01/29,06:01:51,-40.584827,-65.005241
2022/01/29,06:16:57,-40.584755,-65.005196
2022/01/29,06:32:01,-40.584816,-65.005234
2022/01/29,06:47:05,-40.584782,-65.005249
2022/01/29,07:02:15,-40.584778,-65.005302
2022/01/29,07:17:19,-40.584801,-65.005287
2022/01/29,07:32:25,-40.584881,-65.005264
2022/01/29,07:47:31,-40.584743,-65.005211
2022/01/29,08:02:44,-40.584766,-65.005203
2022/01/29,08:17:54,-40.584827,-65.005234
2022/01/29,08:33:06,-40.584923,-65.005257
2022/01/29,08:48:20,-40.584812,-65.005264
2022/01/29,09:04:02,-40.584816,-65.005234
2022/01/29,09:19:16,-40.584816,-65.005226
2022/01/29,09:34:31,-40.584824,-65.005226
2022/01/29,09:49:52,-40.584850,-65.005226
2022/01/29,10:05:20,-40.584911,-65.005089
2022/01/29,10:20:32,-40.584930,-65.004890
2022/01/29,10:35:33,-40.584938,-65.004929
2022/01/29,10:50:43,-40.584938,-65.004883
2022/01/29,11:06:03,-40.584843,-65.004387
2022/01/29,11:21:06,-40.584759,-65.003586
2022/01/29,11:36:19,-40.584770,-65.003563
2022/01/29,11:51:33,-40.584732,-65.003433
2022/01/29,12:08:30,-40.584743,-65.003365
2022/01/29,12:23:34,-40.584740,-65.003372
2022/01/29,12:38:38,-40.584763,-65.003365
2022/01/29,12:53:42,-40.584728,-65.003372
2022/01/29,13:08:50,-40.584763,-65.003395
2022/01/29,13:23:55,-40.584740,-65.003403
2022/01/29,13:39:01,-40.584759,-65.003418
2022/01/29,13:54:07,-40.584774,-65.003441
2022/01/29,14:09:20,-40.584728,-65.003418
2022/01/29,14:25:02,-40.584755,-65.002968
2022/01/29,14:40:27,-40.584797,-65.002861
2022/01/29,14:55:48,-40.584812,-65.002846
2022/01/29,15:11:14,-40.584816,-65.002846
2022/01/29,15:26:35,-40.584789,-65.002846
2022/01/29,15:41:56,-40.584801,-65.002846
2022/01/29,15:57:16,-40.584824,-65.002846
2022/01/29,16:12:37,-40.584808,-65.002853
2022/01/29,16:27:54,-40.584827,-65.002831
2022/01/29,16:43:11,-40.584824,-65.002846
2022/01/29,16:58:27,-40.584789,-65.002876
2022/01/29,17:14:21,-40.584812,-65.002876
2022/01/29,17:29:33,-40.584827,-65.002846
2022/01/29,17:44:43,-40.584805,-65.002853
2022/01/29,17:59:52,-40.584805,-65.002869
2022/01/29,18:15:02,-40.584797,-65.002861
2022/01/29,18:30:09,-40.584785,-65.002602
2022/01/29,18:45:24,-40.584789,-65.002480
2022/01/29,19:00:36,-40.584805,-65.002464
2022/01/29,19:15:44,-40.584805,-65.002426
2022/01/29,19:30:50,-40.584747,-65.002495
2022/01/29,19:46:27,-40.584755,-65.002502
2022/01/29,20:01:34,-40.584721,-65.002594
2022/01/29,20:16:33,-40.584778,-65.002838
2022/01/29,20:31:28,-40.584797,-65.002831
2022/01/29,20:46:21,-40.584789,-65.002800
2022/01/30,06:02:02,-40.584789,-65.002831
2022/01/30,06:17:00,-40.584793,-65.002838
2022/01/30,06:31:57,-40.584778,-65.002831
2022/01/30,06:46:53,-40.584763,-65.002823
2022/01/30,07:01:53,-40.584770,-65.002831
2022/01/30,07:16:50,-40.584751,-65.002869
2022/01/30,07:31:48,-40.584770,-65.002853
2022/01/30,07:46:47,-40.584770,-65.002853
2022/01/30,08:01:51,-40.584778,-65.002823
2022/01/30,08:16:56,-40.584782,-65.002831
2022/01/30,08:32:02,-40.584785,-65.002853
2022/01/30,08:47:08,-40.584816,-65.002846
2022/01/30,09:02:50,-40.584789,-65.002838
2022/01/30,09:17:57,-40.584793,-65.002831
2022/01/30,09:33:03,-40.584812,-65.002815
2022/01/30,09:48:15,-40.584793,-65.002846
2022/01/30,10:03:30,-40.584789,-65.002823
2022/01/30,10:18:36,-40.584797,-65.002853
2022/01/30,10:33:45,-40.584827,-65.002831
2022/01/30,10:49:07,-40.584785,-65.002876
2022/01/30,11:04:36,-40.584793,-65.002876
2022/01/30,11:19:53,-40.584789,-65.002853
2022/01/30,11:35:25,-40.584827,-65.002869
2022/01/30,11:51:09,-40.584763,-65.002831
2022/01/30,12:06:46,-40.584743,-65.002647
2022/01/30,12:21:54,-40.584755,-65.002426
2022/01/30,12:37:00,-40.584717,-65.002388
2022/01/30,12:51:43,-40.584690,-65.002411
2022/01/30,13:06:41,-40.584705,-65.002419
2022/01/30,13:21:59,-40.584694,-65.002396
2022/01/30,13:37:19,-40.584698,-65.002365
2022/01/30,13:52:37,-40.584717,-65.002373
2022/01/30,14:07:54,-40.584682,-65.002365
2022/01/30,14:23:10,-40.584694,-65.002357
2022/01/30,14:38:48,-40.584690,-65.002380
2022/01/30,14:54:42,-40.584618,-65.001793
2022/01/30,15:10:32,-40.584751,-65.001465
2022/01/30,15:25:28,-40.584637,-65.001137
2022/01/30,15:40:22,-40.584610,-65.000778
2022/01/30,15:54:53,-40.584625,-65.000763
2022/01/30,16:09:53,-40.584602,-65.000717
2022/01/30,16:25:06,-40.584621,-65.000641
2022/01/30,16:40:25,-40.584579,-65.000626
2022/01/30,16:55:59,-40.584587,-65.000755
2022/01/30,17:11:25,-40.584579,-65.001137
2022/01/30,17:26:36,-40.584637,-65.001617
2022/01/30,17:41:48,-40.584713,-65.001945
2022/01/30,17:57:13,-40.584705,-65.002548
2022/01/30,18:12:56,-40.584774,-65.002831
2022/01/30,18:27:57,-40.584808,-65.002846
2022/01/30,18:42:49,-40.584793,-65.002838
2022/01/30,18:57:35,-40.584778,-65.002838
2022/01/30,19:12:44,-40.584782,-65.002846
2022/01/30,19:27:48,-40.584755,-65.002853
2022/01/30,19:42:53,-40.584770,-65.002853
2022/01/30,19:57:55,-40.584820,-65.002846
2022/01/30,20:13:09,-40.584782,-65.002838
2022/01/30,20:28:20,-40.584793,-65.002846
2022/01/30,20:43:43,-40.584820,-65.002846
2022/01/30,20:59:08,-40.584789,-65.002838
2022/01/31,06:01:57,-40.584785,-65.002853
2022/01/31,06:16:58,-40.584808,-65.002838
2022/01/31,06:31:59,-40.584793,-65.002838
2022/01/31,06:47:00,-40.584805,-65.002838
2022/01/31,07:02:06,-40.584805,-65.002838
2022/01/31,07:17:07,-40.584808,-65.002823
2022/01/31,07:32:09,-40.584789,-65.002846
2022/01/31,07:47:11,-40.584801,-65.002853
2022/01/31,08:02:21,-40.584816,-65.002846
2022/01/31,08:17:38,-40.584820,-65.002869
2022/01/31,08:32:58,-40.584820,-65.002861
2022/01/31,08:48:18,-40.584801,-65.002861
2022/01/31,09:04:03,-40.584805,-65.002853
2022/01/31,09:19:29,-40.584793,-65.002861
2022/01/31,09:35:07,-40.584797,-65.002869
2022/01/31,09:51:02,-40.584805,-65.002884
2022/01/31,10:06:48,-40.584801,-65.002861
2022/01/31,10:22:16,-40.584785,-65.002884
2022/01/31,10:38:26,-40.584793,-65.002869
2022/01/31,10:54:07,-40.584801,-65.002861
2022/01/31,11:09:37,-40.584808,-65.002838
2022/01/31,11:25:03,-40.584801,-65.002846
2022/01/31,11:40:34,-40.584778,-65.002838
2022/01/31,11:55:43,-40.584793,-65.002869
2022/01/31,12:10:58,-40.584816,-65.002846
2022/01/31,12:26:13,-40.584816,-65.002914
2022/01/31,12:41:28,-40.584835,-65.002899
2022/01/31,12:56:48,-40.584797,-65.002861
2022/01/31,13:12:32,-40.584801,-65.002853
2022/01/31,13:27:46,-40.584797,-65.002861
2022/01/31,13:43:03,-40.584793,-65.002853
2022/01/31,13:58:32,-40.584789,-65.002846
2022/01/31,14:13:46,-40.584778,-65.002853
2022/01/31,14:29:03,-40.584778,-65.002869
2022/01/31,14:44:11,-40.584797,-65.002861
2022/01/31,14:59:14,-40.584785,-65.002869
2022/01/31,15:14:38,-40.584812,-65.002869
2022/01/31,15:30:03,-40.584797,-65.002869
2022/01/31,15:45:33,-40.584743,-65.003273
2022/01/31,16:01:13,-40.584728,-65.003342
2022/01/31,16:16:33,-40.584682,-65.003242
2022/01/31,16:31:55,-40.584740,-65.003387
2022/01/31,16:47:14,-40.584759,-65.003403
2022/01/31,17:03:04,-40.584759,-65.003593
2022/01/31,17:18:25,-40.584782,-65.004173
2022/01/31,17:33:52,-40.584919,-65.004784
2022/01/31,17:49:10,-40.584927,-65.004890
2022/01/31,18:04:20,-40.584923,-65.004898
2022/01/31,18:19:19,-40.584923,-65.004883
2022/01/31,18:34:15,-40.584915,-65.004883
2022/01/31,18:49:10,-40.584942,-65.004890
2022/01/31,19:04:17,-40.584873,-65.004898
